Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
	Fleischer, S., Jahnke, H. G., Fritsche, E., Girard, M. & Robitzki, A. A. Comprehensive human stem cell differentiation in a 2D and 3D mode to cardiomyocytes for long-term cultivation and multiparametric monitoring on a multimodal microelectrode array setup. Biosens Bioelectron 126, 624–631 (2019).	2019.0	 Comprehensive human stem cell differentiation in a 2D and 3D mode to cardiomyocytes for long-term cultivation and multiparametric monitoring on a multimodal microelectrode array setup	 Biosens Bioelectron 126, 624–631 (2019)	https://doi.org/10.1016/j.bios.2018.https://doi.org/10.061		IMR-90	1	Female		Matrigel	mTeSR-1	87.5	RPMI-1640	B27, GlutaMax	CHIR98014	0-1	IWP4	3-5				Flow cytometry for cTnT+	90	DMEM/F-12, GlutaMax, NEAAs, FCS, L-ascorbic acid, β-mercaptoethanol												Scaffold free	CM			100, 0, 0	DMEM/F-12, GlutaMax, NEAAs, FCS, L-ascorbic acid, β-mercaptoethanol	0.25	0.16	Yes			2.0			Motion tracking analysis										MEA							PCR	acetaminophen, isoprotereol, E4031	
	Floy, M. E. et al. Direct coculture of human pluripotent stem cell-derived cardiac progenitor cells with epicardial cells induces cardiomyocyte proliferation and reduces sarcomere organization. J Mol Cell Cardiol 162, 144–157 (2022).	2022.0	 Direct coculture of human pluripotent stem cell-derived cardiac progenitor cells with epicardial cells induces cardiomyocyte proliferation and reduces sarcomere organization	 J Mol Cell Cardiol 162, 144–157 (2022)	https://doi.org/10.1016/j.yjmcc.2021.09.009		WTC11, WTC11, DF19-9-11T.H	3	Male, Male, Male	Asian, Asian, NaN	Matrigel	mTeSR-1	85	RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5				Flow cytometry for cTnT+	85	Advanced DMEM/F12, L-ascorbic acid, GlutaMax	Gelatin					Yes					ECM-coated plastic/glass									Yes			1.4																				RNA-seq		
	Fong, A. H. et al. Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Tissue Eng Part A 22, 1016–1025 (2016).	2016.0	 Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes	 Tissue Eng Part A 22, 1016–1025 (2016)	https://doi.org/10.1089/ten.TEA.2016.0027		WTC11	1	Male	Asian	Matrigel	mTeSR-1	82.5	RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85											Yes		Decellularized tissue	CM			100, 0, 0	RPMI-1640, B27	1.6		Yes										Genetically encoded sensor	0.6	30.0		220 (50%)									PCR	isoproterenol, propanolol	
	Fukushima, H. et al. Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells. PLoS One 15, (2020).	2020.0	 Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells	 PLoS One 15, (2020)	https://doi.org/10.1371/journal.pone.0241287		836B3, 253G1,1201C1	3	NaN, NaN, NaN	NaN, NaN, NaN	Matrigel	MEF-conditioned medium, bFGF	100	RPMI-1640	B27, L-glutamine	Activin A, BMP4, bFGF	0-5	XAV939, IWP4	5-9	7	Cell sorting		Flow cytometry for cTnT+	97		Matrigel, Gelatin										ECM-coated plastic/glass									Yes	TEM		1.91		like structures											Patch clamp		115	-64.0				PCR	E4031, chromanol	
	Gao, L. et al. Large Cardiac Muscle Patches Engineered From Human Induced-Pluripotent Stem Cell–Derived Cardiac Cells Improve Recovery From Myocardial Infarction in Swine. Circulation 137, 1712–1730 (2018).	2018.0	 Large Cardiac Muscle Patches Engineered From Human Induced-Pluripotent Stem Cell–Derived Cardiac Cells Improve Recovery From Myocardial Infarction in Swine	 Circulation 137, 1712–1730 (2018)	https://doi.org/10.1161/CIRCULATIONAHA.117.030785		in-house	1			Matrigel			RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Unclear	3-5		No glucose with lactate	8-14	Flow cytometry for cTnT+	96						Yes	Yes	Flow 					Fibrin	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25		1.0	800	Yes	TEM					Force transducer	1.8			Dye						Optical mapping	14.1							isoproterenol	
	Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 1318–1325 (2017).	2017.0	 Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold	 Circ Res 120, 1318–1325 (2017)	https://doi.org/10.1161/CIRCRESAHA.116.310277		in-house	1			Matrigel			RPMI-1640	B27	CHIR99021	0-1	Not listed	3-5	7, not 20-30	No glucose and lactate	20-30	IHC cTnI, cTnT, a-actinin, cx43, MLC-2v	95		Gelatin					Yes		Yes		Yes		Decellularized ECM, PEG, 3D printing	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25	DMEM, FCS		4	Yes		Yes				Motion tracking analysis			17	Dye	2.3					Optical mapping	18.0						PCR		
	Garay, B. I. et al. Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes. Stem Cell Reports 17, 2005–2022 (2022).	2022.0	 Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes	 Stem Cell Reports 17, 2005–2022 (2022)	https://doi.org/10.1016/j.stemcr.2022.07.003	GSE187308	PLZ, MYL2-mEGFP, 19004	3	NaN, NaN, NaN	NaN, NaN, NaN	Matrigel	mTeSR-1	77.5	RPMI-1640	B27	CHIR99021	0-2	IWP2	2-4	6	No glucose with lactate	16-20	Flow cytometry for cTnT+	99		Matrigel							Yes			ECM-coated plastic/glass and Micropatterned polyacrlyamide gels									Yes	TEM	Yes	2.0	4100	Yes	TFM	0.00042 (per cell)			Dye	0.175		375			Patch clamp; MEA	5.0	112	-75.0		Seahorse		RNA-seq, PCR		
	Garbern, J. C. et al. Inhibition of mTOR Signaling Enhances Maturation of Cardiomyocytes Derived from Human-Induced Pluripotent Stem Cells via p53-Induced Quiescence. Circulation 285–300 (2020) 	2020.0	 Inhibition of mTOR Signaling Enhances Maturation of Cardiomyocytes Derived from Human-Induced Pluripotent Stem Cells via p53-Induced Quiescence	 Circulation 285–300 (2020) 	https://doi.org/10.1161/CIRCULATIONAHA.119.044205		BJ RiPS-A, UCSD142i-86-1PS, Gibco episomal	3	NaN, NaN, NaN	NaN, NaN, NaN		StemFlex	75	RPMI-1640	B27	CHIR99021	0-2	IWP4	2-4	7			Flow cytometry for cTnT+	70	RPMI-1640, B27, Torin1		Yes	Torin1					Yes	Yes		Micropatterned gelatin						RPMI-1640, B27			Yes			1.7			Motion tracking analysis				Dye		35.0	190			Optical mapping					Seahorse		PCR	isoproterenol	
	Garreta, E. et al. Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts. Biomaterials 98, 64–78 (2016).	2016.0	 Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts	 Biomaterials 98, 64–78 (2016)	https://doi.org/10.1016/j.biomaterials.2016.04.003		ESi048-A	1	Female	Caucasian	Matrigel	mTeSR-1		RPMI-1640	B27, L-glutamine, β-mercaptoethanol, NEAAs	CHIR99021	0-1	IWP4	3-5	5												Yes				Decellularized ECM									Yes															8.3								PCR	verapamil, flecainide	
	Giacomelli, E. et al. Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease. Cell Stem Cell 26, 862-879.e11 (2020).	2020.0	 Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease	 Cell Stem Cell 26, 862-879.e11 (2020)	https://doi.org/10.1016/j.stem.2020.05.004		LUMCi004-A, LUMCi026-A, LUMCi028-A, NCRM-1	4	Female, NaN, Female, Male	Caucasian, NaN, Caucasian, NaN	Matrigel	E8		BPEL medium (BSA with Polyvinyl alcohol Essential Lipids)		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6				Flow cytometry for cTnT+	80		Fibronectin					Yes						Scaffold free	CM + EC + SC	hiPSC-CF	hiPSC-EC	75, 15, 15	BPEL, bFGF, VEGF	0.1	0.13	Yes	TEM	Yes	1.9		Yes	Motion tracking analysis			50	Dye			150			Patch clamp		105	-70.0		Seahorse		RNA-seq, PCR	verapamil, Bay K-8644, dbcAMP	ACM
	Giacomelli, E. et al. Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells. Development (Cambridge) 144, 1008–1017 (2017).	2017.0	 Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells	 Development (Cambridge) 144, 1008–1017 (2017)	https://doi.org/10.1242/dev.143438		in-house	1			Matrigel	E8		BPEL medium (BSA with Polyvinyl alcohol Essential Lipids)		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6		Cell sorting	14	Flow cytometry for VCAM1	79		Fibronectin					Yes						Scaffold free	CM + EC		hiPSC-EC	85, 0, 15	BPEL, VEGF	0.1	0.07	Yes						Motion tracking analysis										Patch clamp; MEA		100	-52.0				PCR	isoproterenol, verapamil	
	Goldfracht, I. et al. Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications. Acta Biomater 92, 145–159 (2019).	2019.0	 Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications	 Acta Biomater 92, 145–159 (2019)	https://doi.org/10.1016/j.actbio.2019.05.016		in-house	1			Matrigel	mTeSR-1	85	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-1	Wnt-C59	2-4				Flow cytometry for cTnT+	85								Yes			Yes		Decellularized tissue	CM			100, 0, 0	Iscove medium, FBS, NEAAs, glutamine, β-mercaptoethanol	30.0	24	Yes	TEM									Genetically encoded sensor		40.0		310		Optical mapping	6.0							isoproterenol, carbamylcholine, E4031, ATX-II, ouabain, quinidine, lidocaine, carbenoxolone	Long QT syndrome type 2 (LQTS2) and catecholaminergic polymorphic ventricular tachycardia type 2 (CPVT2)
	Goversen, B. et al. A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time. Front Physiol 8, (2018).	2018.0	 A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time	 Front Physiol 8, (2018)	https://doi.org/10.3389/fphys.2017.01094		Cor.4U	1																												ECM-coated plastic/glass																									Patch clamp				1.0					
	Guan, G. et al. Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart. Bioact Mater 6, 4415–4429 (2021).	2021.0	 Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart	 Bioact Mater 6, 4415–4429 (2021)	https://doi.org/10.1016/j.bioactmat.2021.04.010		ATCC	1			SpGel	mTeSR-1		RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Wnt-C59	2-4				Flow cytometry for CD31+	85		SpGel									Yes		Decellularized ECM, 3D printing	CM + EC		hiPSC-EC	67, 33, 0		0.017	225	Yes	SEM, TEM	Yes														MEA									
	Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 3746–3754 (2019).	2019.0	 A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics	 Biomacromolecules 20, 3746–3754 (2019)	https://doi.org/10.1021/acs.biomac.9b00786		in-house	1			MEF feeder cells	ES Cell Medium + 5ng/mL bFGF		StemPro-34	VEGF, bFGF	Activin A, BMP4, bFGF	0-4						Flow cytometry for cTnT+														PEG	CM + SC	hCF		75, 0, 25		10.0	0.012	Yes																									
	Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 2973–2989 (2021).	2021.0	 Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology	 ACS Biomater Sci Eng 7, 2973–2989 (2021)	https://doi.org/10.1021/acsbiomaterials.0c00318		WTC11	1	Male	Asian	Matrigel	E8		RPMI-1640	B27	CHIR99021	0-2	IWP2	2-4	6, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	86		Matrigel								Yes		ECM-coated PDMS						RPMI-1640, B27, L-ascorbic acid, vitamin B12			Yes		Yes	1.9			Motion tracking analysis	0.05		45	Genetically encoded sensor			150												
	Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 56–72 (2016).	2016.0	 Bioengineering Human Myocardium on Native Extracellular Matrix	 Circ Res 118, 56–72 (2016)	https://doi.org/10.1161/CIRCRESAHA.115.306874		BJ-RiPS-1.1	1			Matrigel	mTeSR-1		RPMI-1640	B27	CHIR99021	0-2	IWP4	2-5	6			Flow cytometry for cTnT+; For cytometry for a-actinin	85								Yes			Yes		Decellularized tissue	CM			100, 0, 0	RPMI-1640, B27		37.5	Yes	TEM					Force transducer 	0.125					42.0			33.0								PCR		
	Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740–750 (2016).	2016.0	 Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation	 Stem Cell Res 16, 740–750 (2016)	DOI.org/https://doi.org/10.1016/j.scr.2016.04.014		IMR-90	1	Female		Matrigel	MEF-conditioned medium, bFGF or E8	85	RPMI-1640	B27	CHIR99021	0-2	Wnt-C59	3-5	5			Flow cytometry for cTnT+			Matrigel										Electrospun fibers									Yes			1.4	1000						Dye		19.0				MEA								isoproterenol, phenylephrine, carbamylcholine, heptanol	
	Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018).	2018.0	 Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes	 Biosensors (Basel) 8, (2018)	https://doi.org/10.3390/bios8040088		iCell2	1						iCell Maintenance Medium (CDI)												Fibronectin							Yes			MEA																																	norepinephrine	
	Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 1251–1256 (2018).	2018.0	 Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2	 Biochem Biophys Res Commun 505, 1251–1256 (2018)	https://doi.org/10.1016/j.bbrc.2018.https://doi.org/10.020		201B7	1	Female	Caucasian	EBs					BMP4	0-1	IWP3	4-8																	ECM-coated plastic/glass									Yes	SEM, TEM				Yes																				
	Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565–578 (2019).	2019.0	 Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro	 Stem Cells Dev 28, 565–578 (2019)	https://doi.org/10.1089/scd.2018.0210		iCell	1						iCell Maintenance Medium (CDI)												Gelatin										ECM-coated plastic/glass									Yes						Motion tracking analysis				Dye	2.6		250 @ 1 HZ			Optical mapping					Seahorse		Proteomics	isoproterenol	
	Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016).	2016.0	 Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function	 Circ Arrhythm Electrophysiol 9, (2016)	https://doi.org/10.1161/CIRCEP.113.003638		iCell	1						RPMI-1640	B27											Matrigel, Fibronectin								Yes		ECM-coated PDMS									Yes				3500						Dye					44.0	Patch clamp; optical mapping		115	-80.0				PCR		
	Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 1126–1141 (2019).	2019.0	 Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation	 Stem Cell Reports 13, 1126–1141 (2019)	https://doi.org/10.1016/j.stemcr.2019.11.003		in-house (3)	3			Matrigel	mTeSR-1	85	STEMdiff Cardiomyocyte Differentiation Kit		StemCell Differentiation kit	0-4		6-8	8			Flow cytometry for cTnT+	80	STEMdiff Cardiomyocyte Differentiation Kit											ECM-coated plastic/glass									Yes										Dye	0.15	45.0													
	Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019).	2019.0	 Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis	 Sci Rep 9, (2019)	https://doi.org/10.1038/s41598-019-51197-7		in-house	1			Geltrex	E8		RPMI-1640	B27	CHIR99021	0-1	IWP2 or IWP4	2-5	7	No glucose with lactate	12-14														ECM-coated plastic/glass															Motion tracking analysis																		alfuzosin, flecainide, isoproterenol	
	Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021).	2021.0	 Cardioids reveal self-organizing principles of human cardiogenesis	 Cell 184, 3299-3317.e22 (2021)	https://doi.org/10.1016/j.cell.2021.04.034		WTC11, IMBAi001-A, IMBAi002-A, 178/5	4	Male, Female, Female, Male	Asian, Caucasian, Caucasian, Caucasian	Vitronectin	E8 with BSA, FGF2, TGFβ1	EB	IMDM and F12 Nutrient Mix	Transferrin, 1-thioglycerol, BSA	Activin A, BMP4, CHIR99021, bFGF	0-2	BMP4, bFGF, IWP2	2-6	7			Flow cytometry for cTnI+	90							Yes						Scaffold free	CM + EC + SC	hiPSC-SC	hiPSC-EC		IMDM and F12 nutrient mix, transferrin,thioglycerol-1, BSA, bFGF	0.08	2	Yes	TEM					Motion tracking analysis				Dye	1.25	50.0				Optical mapping							RNA-seq		
	Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944–954 (2020).	2020.0	 A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering	 J Tissue Eng Regen Med 14, 944–954 (2020)	https://doi.org/10.1002/term.3074		201B7	1	Female	Caucasian	iMatrix-511	StemFit AK03	EB	DMEM	FBS	Activin A, BMP4, bFGF	0-3	IWR1	3-5		aMHC-Puromycin resistance selection		Flow cytometry for cTnT+	99										Yes			Scaffold free	CM			100, 0, 0	DMEM, FBS	0.325	1225	Yes		Yes																							
	Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773–785 (2019).	2019.0	 Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function	 Tissue Eng Part A 25, 773–785 (2019)	https://doi.org/10.1089/ten.TEA.2018.0362	GSE129058	WTC11	1	Male	Asian	Matrigel	mTeSR-1	100	RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	85							Yes						Scaffold free	CM + SC	hCF, hDF, hMSC, hiPSC-CF		75, 0, 25		0.14	0.18	Yes										Genetically encoded sensor	1.5												RNA-seq fibroblasts		
	Horikoshi, Y. et al. Fatty acid-treated induced pluripotent stem cell-derived human cardiomyocytes exhibit adult cardiomyocyte-like energy metabolism phenotypes. Cells 8, (2019).	2019.0	 Fatty acid-treated induced pluripotent stem cell-derived human cardiomyocytes exhibit adult cardiomyocyte-like energy metabolism phenotypes	 Cells 8, (2019)	https://doi.org/10.3390/cells8091095		1013, H3083	2	NaN, NaN	NaN, NaN	Matrigel	mTeSR-1		RPMI-1640	B27	CHIR99021	0-2	IWP4	3-5	5	No glucose with lactate	20-27	Flow cytometry for cTnT+	98	Glucose free DMEM, 4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid) HEPES, l-carnitine inner salt, creatine, taurine, NEAA, linoleic-oleic acid 	Matrigel	Yes	L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid								ECM-coated plastic/glass									Yes				6000																	Seahorse	Yes	PCR		
	Horváth, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822–833 (2018).	2018.0	 Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes	 Stem Cell Reports 10, 822–833 (2018)	https://doi.org/10.1016/j.stemcr.2018.01.012		C25	1	Female	Caucasian	EBs	FTDA	EB			Activin A, BMP4, bFGF	0-3	DS07	3-7	3										Yes							Fibrin + matrigel	CM			100, 0, 0	DMEM,  heat-inactivated horse serum, aprotinin	10.0	100																	Optical mapping			-75.0				PCR	carbamylcholine	
	Hu, D. et al. Metabolic maturation of human pluripotent stem cell derived cardiomyocytes by inhibition of HIF1α and LDHA. Circ Res 123, 1066–1079 (2018).	2018.0	 Metabolic maturation of human pluripotent stem cellderived cardiomyocytes by inhibition of HIF1α and LDHA	 Circ Res 123, 1066–1079 (2018)	https://doi.org/10.1016/j.celrep.2020.107925		BJ RiPS-D	1			Matrigel	E8	95	RPMI-1640	GlutaMax, Gem21 NeuroPlex Serum-Free	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-16	Flow cytometry for cTnT+	90		Matrigel	Yes	Palmitic acid, oleic acid, HIF1α inhibitior chetomin, a selective and potent LDHA inhibitor GSK 2837808A								ECM-coated plastic/glass									Yes	TEM		2.1			Motion tracking analysis	0.0003		200	Dye	8.0					Patch clamp		114	-74.0		Seahorse	Yes	PCR		
	Huang, C. Y. et al. Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment. J Mol Cell Cardiol 138, 1–11 (2020).	2020.0	 Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment	 J Mol Cell Cardiol 138, 1–11 (2020)	https://doi.org/10.1016/j.yjmcc.2019.https://doi.org/10.001		in-house	1			Geltrex	E8	85	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	92	RPMI-1640, B27, T3, IGF-1, dexamethasone	Geltrex	Yes	Thyroid hormone T3, dexamethasone, IGF-1		Yes	Yes					ECM-coated plastic/glass	Collagen + fibrin	CM + EC + SC	hCF	HUVEC	75, 10, 15	RPMI-1640, B27, T3, IGF-1, dexamethasone 	0.019	0.062	Yes	TEM		1.9		Yes	Post deflection		2.7	60 mN/mm2/s	Dye	0.6					Optical mapping	20.0			4.0			PCR	isoproterenol	
	Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467–479 (2015).	2015.0	 Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales	 Tissue Eng Part C Methods 21, 467–479 (2015)	https://doi.org/10.1089/ten.TEC.2014.0283		WTC11	1	Male 	Asian	Matrigel	E8		RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	70		Matrigel										ECM-coated plastic/glass															Motion tracking analysis 			80	Genetically encoded sensor 						Patch clamp; MEA			-60.0					isoproterenol	
	Huebsch, N. et al. Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips. Nat Biomed Eng 6, 372–388 (2022).	2022.0	 Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips	 Nat Biomed Eng 6, 372–388 (2022)	https://doi.org/10.1038/s41551-022-00884-4		WTC11, SCVI-20, SCVI-273, G15.AO	4	Male, NaN, NaN, NaN	Asian, NaN, NaN, NaN	Matrigel	E8	90	RPMI-1640	B27, L-ascorbic acid	CHIR99021	0-1	IWP2	2-4	6	No glucose with lactate	16-18	Flow cytometry for cTnT+	98	Glucose-free RPMI-1640, B-27, galactose, BSA, oleic acid, palmitic acid		Yes	Oleic acid, palmitic acid 		Yes	Yes			Yes			Scaffold free	CM + SC	hiPSC-SC		80, 0, 20	Glucose-free RPMI-1640, B-27, glucose, galactose, BSA, oleic acid, palmitic acid	6.6	0.05	Yes						Post deflection		3.0		Genetically encoded sensor	0.03	60.0				Optical mapping					Seahorse	Yes	PCR	verapamil, flecainide, alfuzosin, isoproterenol	
	Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016).	2016.0	 Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses	 Sci Rep 6, (2016)	https://doi.org/10.1038/srep24726		WTC11	1	Male	Asian	Matrigel	E8		RPMI-1640	B27, L-ascorbic acid	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	91						Yes	Yes						Scaffold free	CM + SC	hiPSC-SC		50, 0, 50	RPMI-1640, B27, L-ascorbic acid		0.5	Yes	SEM	Yes				Force transducer		4.0		Genetically encoded sensor		38.0												isoproterenol, verapamil	
