Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?
Jeziorowska, D. et al. Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs. Aggregation-based differentiation protocols. Int J Mol Sci 18, (2017).	2017.0	Selected	in-house (4)	4	2D: 75, 3D: EB	Activin A, BMP4, CHIR99021	0-3	IWR1 or IWP2	3-5; 4-8				Flow cytometry for cTnT+	54					
Jha, R. et al. A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells. FASEB Journal 34, 1433614352 (2020).	2020.0	Randomized	IMR-90, SCVI-273	2	85	CHIR99021	0-2	IWR1	3-5	5			Flow cytometry for cTnT+; Flow cytometry for a-actinin+	84, 79					
Jia, J. et al. Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications. Acta Biomater 45, 110120 (2016).	2016.0	Randomized	iCell	1															
Jiang, X. et al. Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts. J Biosci Bioeng 132, 198205 (2021).	2021.0	Randomized	Not listed	1	90	CHIR99021, rapamycin	0-1	XAY939, KY02111, BMS493	3-7	8, not 10-14	No glucose with lactate	10-14	Flow cytometry for cTnT+	81				Yes	Yes
Jiang, Y. et al. Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction. Stem Cell Res Ther 12, (2021).	2021.0	Selected	KS1	1	75	CHIR99021	0-1	IWP2	4-6	8	No glucose with lactate	Unclear							
Jung, G. et al. Time-dependent evolution of functional vs. remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation. FASEB Journal 30, 14641479 (2016).	2016.0	Top 100	in-house	3	90	CHIR99021	0-2	IWR1	3-4	7	No glucose	10-15							
Kaiser, N. J., Kant, R. J., Minor, A. J. & Coulombe, K. L. K. Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes. ACS Biomater Sci Eng 5, 887899 (2019).	2019.0	Selected	Gibco episomal	2		CHIR99021	0-3	IWP2		15, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	45					
Kallepitis, C. et al. Quantitative volumetric Raman imaging of three dimensional cell cultures. Nat Commun 8, (2017).	2017.0	Top 100	Gibco episomal	1	100	CHIR99021	0-1	IWP4	3-5	7, not 9-12	No glucose and lactate	9-12							
Kawaguchi, S. et al. Intramyocardial Transplantation of Human iPS CellDerived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals. JACC Basic Transl Sci 6, 239254 (2021).	2021.0	Selected	253G4	1	EB	CHIR99021, BMP4		IWR1		7, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	98					
Kawai, Y. et al. Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo. Front Cardiovasc Med 8, (2022).	2022.0	Randomized	253G4	1	90	CHIR99021	0-1	IWR1	3-6		StemFit Media	12-14	Flow cytometry for cTnT+	99				Yes	Yes
Kawatou, M. et al. Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue. Nat Commun 8, (2017).	2017.0	Top 100	836B3	1		Activin A, BMP4, bFGF	0-5	XAV939, IWP4	1-9	1			Flow cytometry for cTnT+	96					
Kerscher, P. et al. Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues. Biomaterials 83, 383395 (2016).	2016.0	Selected	IMR-90, DF19-9-11T.H	2		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	74					
Khan, M. et al. Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch. PLoS One 10, (2015).	2015.0	Top 100	iCell	1															
King, O. et al. Functional microvascularization of human myocardium in vitro. Cell Reports Methods 2, (2022).	2022.0	Selected	WTC11	1	95	CHIR99021	0-2	Wnt-C59	3-5	9	No glucose	11-15							Yes
Kit-Anan, W. et al. Multiplexing physical stimulation on single human induced pluripotent stem cell-derived cardiomyocytes for phenotype modulation. Biofabrication 13, (2021).	2021.0	Randomized	Gibco episomal	1	85	CHIR99021	0-2	Wnt-C59	3-5	7	No glucose with lactate		Flow cytometry for cTnT+						
Kofron, C. M. et al. A predictive in vitro risk assessment platform for pro-arrhythmic toxicity using human 3D cardiac microtissues. Sci Rep 11, (2021).	2021.0	Selected	Gibco episomal	1		CHIR99021	0-2	IWP2	2-?	7, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	84			Yes		Yes
Kolanowski, T. J. et al. Enhanced structural maturation of human induced pluripotent stem cell-derived cardiomyocytes under a controlled microenvironment in a microfluidic system. Acta Biomater 102, 273286 (2020).	2020.0	Randomized	iWT.D2.1/2.3, UMGi005-A	2	90	CHIR99021	0-2	IWP2	2-4	6			Flow cytometry for cTnT+	90					
Kroll, K. et al. Electro-mechanical conditioning of human iPSC-derived cardiomyocytes for translational research. Prog Biophys Mol Biol 130, 212222 (2017).	2017.0	Selected	Cor.4U	1													Yes		
Kujala, V. J., Pasqualini, F. S., Goss, J. A., Nawroth, J. C. & Parker, K. K. Laminar ventricular myocardium on a microelectrode array-based chip. J Mater Chem B 4, 35343543 (2016).	2016.0	Randomized	Cor.4U	1							Cell sorting								
Kumar, N. et al. Scalable Biomimetic Coaxial Aligned Nanofiber Cardiac Patch: A Potential Model for Clinical Trials in a Dish. Front Bioeng Biotechnol 8, (2020).	2020.0	Selected	iCell	1															
Kurokawa, Y. K., Shang, M. R., Yin, R. T. & George, S. C. Modeling trastuzumab-related cardiotoxicity in vitro using human stem cell-derived cardiomyocytes. Toxicol Lett 285, 7480 (2018).	2018.0	Randomized	WTC11	1	85	CHIR99021	0-2	IWP2	3-5	7, not 13-21	No glucose with lactate	13-21	Flow cytometry for cTnT+	95					
LaBarge, W. et al. Maturation of three-dimensional, hiPSC-derived cardiomyocyte spheroids utilizing cyclic, uniaxial stretch and electrical stimulation. PLoS One 14, (2019).	2019.0	Selected	in-house	1		CHIR99021	0-1	IWR1	2-4	4	No glucose with lactate	10-12, 13-16					Yes		
Lam, Y. Y. et al. Single-cell transcriptomics of engineered cardiac tissues from patient-specific induced pluripotent stem cellderived cardiomyocytes reveals abnormal developmental trajectory and intrinsic contractile defects in hypoplastic right heart syndrome. J Am Heart Assoc 9, (2020).	2020.0	Randomized	in-house (6)	6	EB	Activin A, BMP4	0-1	IWR1	3-7	14			Flow cytometry for cTnT+	60				Yes	Yes
Lauschke, K. et al. Creating a human-induced pluripotent stem cell-based NKX2.5 reporter gene assay for developmental toxicity testing. Arch Toxicol 95, 16591670 (2021).	2021.0	Randomized	BIONi010-C	1	EB	Activin A, BMP4, CHIR99021, bFGF	0-1	Wnt-C59	2-3										
Lee, S. et al. Contractile force generation by 3D hiPSC-derived cardiac tissues is enhanced by rapid establishment of cellular interconnection in matrix with muscle-mimicking stiffness. Biomaterials 131, 111120 (2017).	2017.0	Selected	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12							
Lee, S. et al. Ultrasoft electronics to monitor dynamically pulsing cardiomyocytes. Nat Nanotechnol 14, 156160 (2019).	2019.0	Top 100	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6										
Lemme, M. et al. Chronic intermittent tachypacing by an optogenetic approach induces arrhythmia vulnerability in human engineered heart tissue. Cardiovasc Res 116, 14871499 (2020).	2020.0	Selected	UKE-1	1	EB	Activin A, BMP4, bFGF	0-3	XAV939	3-10	6			Flow cytometry for cTnT+	92			Yes	Yes	
Lemoine, M. D. et al. Human Induced Pluripotent Stem Cell-Derived Engineered Heart Tissue as a Sensitive Test System for QT Prolongation and Arrhythmic Triggers. Circ Arrhythm Electrophysiol 11, (2018).	2018.0	Selected	C25, ERC018, iCell2	3		CHIR99021	0-2	IWR1	3-4	7, not 10-13	1-Thioglycerol	10-13						Yes	
Lemoine, M. D. et al. Human iPSC-derived cardiomyocytes cultured in 3D engineered heart tissue show physiological upstroke velocity and sodium current density. Sci Rep 7, (2017).	2017.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes	
Leonard, A. et al. Afterload promotes maturation of human induced pluripotent stem cell derived cardiomyocytes in engineered heart tissues. J Mol Cell Cardiol 118, 147158 (2018).	2018.0	Top 100	IMR-90	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7			Flow cytometry for cTnT+	90				Yes	Yes
Lewandowski, J. et al. The impact of in vitro cell culture duration on the maturation of human cardiomyocytes derived from induced pluripotent stem cells of myogenic origin. Cell Transplant 27, 10471067 (2018).	2018.0	Randomized	SMiPSC 194	1	90; 70	CHIR99021, BMP4	0-3; 0-2	IWR1	3-7; 2-4	7, not 12-16	No glucose with lactate	12-16	Flow cytometry for cTnT+	71					
Li, J. et al. Extracellular recordings of patterned human pluripotent stem cell-derived cardiomyocytes on aligned fibers. Stem Cells Int 2016, (2016).	2016.0	Selected	IMR-90, iCell	2	EB	CHIR99021, BIO	0-3	KY02111, XAV939	3-9										
Li, J. et al. Human Pluripotent Stem Cell-Derived Cardiac Tissue-like Constructs for Repairing the Infarcted Myocardium. Stem Cell Reports 9, 15461559 (2017).	2017.0	Top 100	253G1, 201B7	2	EB	CHIR99021	0-2	KY02111	3-9										
Li, J. et al. Scaffold-Mediated Developmental Effects on Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes Are Preserved After External Support Removal. Front Cell Dev Biol 9, (2021).	2021.0	Randomized	201B7	1		StemCell Differentiation kit	0-4		6-8	7, not 14-22	No glucose with lactate	14-22							
Lin, B. et al. Modeling and study of the mechanism of dilated cardiomyopathy using induced pluripotent stem cells derived from individuals with duchenne muscular dystrophy. DMM Disease Models and Mechanisms 8, 457466 (2015).	2015.0	Top 100	in-house	2	EB	BMP4	0-1	BPM4, bFGF, Activin A	1-4				Flow cytometry for cTnT+						
Lind, J. U. et al. Instrumented cardiac microphysiological devices via multimaterial three-dimensional printing. Nat Mater 16, 303308 (2017).	2016.0	Selected	Cor.4U	1															
Liu, T. et al. A net-shaped multicellular formation facilitates the maturation of hPSC-derived cardiomyocytes through mechanical and electrophysiological stimuli. Aging 10, 532548 (2018).	2018.0	Randomized	Cellapy	1	80	CHIR99021	0-2	IWP2	4-6	7			Flow cytometry for cTnT+	88					
Ma, R. et al. Electrical Stimulation Enhances Cardiac Differentiation of Human Induced Pluripotent Stem Cells for Myocardial Infarction Therapy. Antioxid Redox Signal 28, 371384 (2018).	2018.0	Randomized	Gibco episomal	1	EB								Flow cytometry for a-actinin	79			Yes		
Ma, X. et al. 3D printed micro-scale force gauge arrays to improve human cardiac tissue maturation and enable high throughput drug testing. Acta Biomater 95, 319327 (2019).	2019.0	Selected	BJ1	1	80		0-2		2-4	4, not 12-18	No glucose with lactate	12-18					Yes	Yes	
Ma, Z. et al. Contractile deficits in engineered cardiac microtissues as a result of MYBPC3 deficiency and mechanical overload. Nat Biomed Eng 2, 955967 (2018).	2018.0	Top 100	WTC11	1		CHIR99021	0-1	IWP4	3-5	8	No glucose with lactate	17-19	Flow cytometry for cTnT+	80					
Ma, Z. et al. Self-organizing human cardiac microchambers mediated by geometric confinement. Nat Commun 6, (2015).	2015.0	Top 100	WTC11	1		CHIR99021	0-1	IWP4	3-5	7									
Macqueen, L. A. et al. A tissue-engineered scale model of the heart ventricle. Nat Biomed Eng 2, 930941 (2018).	2018.0	Top 100	Cor.4U, PGP1	6	100	CHIR99021	0-2	IWR1	2-4	6			Visual inspection						
Madsen, A. et al. An Important Role for DNMT3A-Mediated DNA Methylation in Cardiomyocyte Metabolism and Contractility. Circulation 142, 15621578 (2020).	2020.0	Randomized	UKEi003-C	1	EB	Activin A, BMP4, bFGF		XAV939					Flow cytometry for cTnT+	80				Yes	
Mannhardt, I. et al. Human Engineered Heart Tissue: Analysis of Contractile Force. Stem Cell Reports 7, 2942 (2016).	2016.0	Top 100	in-house, iCell, Cor.4U	3	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-23	Flow cytometry for cTnT+	85				Yes	
Mannhardt, I., Warncke, C., Trieu, H. K., Müller, J. & Eschenhagen, T. Piezo-bending actuators for isometric or auxotonic contraction analysis of engineered heart tissue. J Tissue Eng Regen Med 13, 311 (2019).	2018.0	Randomized	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes	
Marchiano, S. et al. SARS-CoV-2 Infects Human Pluripotent Stem Cell-Derived Cardiomyocytes, Impairing Electrical and Mechanical Function. Stem Cell Reports 16, 478492 (2021).	2021.0	Top 100	WTC11	1		CHIR99021	0-1	Wnt-C59	2-4	6			Flow cytometry for cTnT+	83				Yes	Yes
Marsano, A. et al. Beating heart on a chip: A novel microfluidic platform to generate functional 3D cardiac microtissues. Lab Chip 16, 599610 (2016).	2016.0	Top 100	iCell	1															
Martella, D. et al. Liquid Crystalline Networks toward Regenerative Medicine and Tissue Repair. Small 13, (2017).	2017.0	Top 100	ax2505	1													Conductive material		
Martewicz, S. et al. Live Cell Imaging in Microfluidic Device Proves Resistance to Oxygen/Glucose Deprivation in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Anal Chem 90, 56875695 (2018).	2018.0	Randomized	ADHF	1	90	CHIR99021	0-2	IWP4	3-5	7									
Martewicz, S. et al. Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli. Ann Biomed Eng 47, 852865 (2019).	2019.0	Randomized	in-house	1		CHIR99021	0-1	IWP4	3-5									Yes	
Mastikhina, O. et al. Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing. Biomaterials 233, (2020).	2020.0	Top 100	iCellA, iCellB	2														Yes	Yes
Masumoto, H. et al. The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages. Sci Rep 6, (2016).	2016.0	Top 100	201B6	1		Activin A, BMP4, bFGF, Wnt3a	0-5	Dkk1	5-7	5			Flow cytometry for cTnT+	62				Yes	Yes
Mathur, A. et al. Human iPSC-based cardiac microphysiological system for drug screening applications. Sci Rep 5, (2015).	2015.0	Top 100	WTC11	1	85	CHIR99021	0-1	IWP4	2-5	7			Flow cytometry for cTnT+	90					
Matsuura, K. et al. Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42°C condition for tumor prevention. Tissue Eng Part C Methods 24, 605615 (2018).	2018.0	Randomized	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6		Cell sorting								
Mattapally, S. et al. Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice. Am J Physiol Heart Circ Physiol 315, H327H339 (2018).	2018.0	Randomized	GRiPS	1		CHIR99021	0-1	IWR1	3-5	5	No glucose with lactate	10-15	IHC: cTnT, Cx43, MLC2v, MLC2A						
McMinn, P., Guckenberger, D. J. & Beebe, D. J. Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit. SLAS Technol 26, 8091 (2021).	2021.0	Randomized	IMR-90	1		CHIR99021	0-1	IWP4	2-4	4									
Melby, J. A. et al. Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues. J Proteome Res 20, 14241433 (2021).	2021.0	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	3-5	7, not 17-24	No glucose with lactate	17-24	Visual inspection	95				Yes	Yes
Michas, C. et al. Engineering a living cardiac pump on a chip using high-precision fabrication. Sci. Adv 8 (2022).	2022.0	Selected	PGP1	1	90	CHIR99021	0-1	IWP4	3-5	10, not 12-16	No glucose with lactate	12-16							Yes
Miller, J. M. et al. Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity. Toxicol Appl Pharmacol 406, (2020).	2020.0	Randomized	iCell	1															
Minor, A. J. & Coulombe, K. L. K. Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production. Stem Cells Transl Med 11, 97106 (2022).	2022.0	Selected	WTC11	1		CHIR99021	0-1	IWP2	3-5	10, not 14-21	No glucose with lactate	14-21	Flow cytometry for cTnT+	61			Yes	Yes	
Miwa, T., Idiris, A. & Kumagai, H. A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels. Regen Ther 15, 1826 (2020).	2020.0	Selected	201B7, 253G1	2	EB	Activin A, BMP4, bFGF	0-4	IWP4	4-6				Flow cytometry for cTnT+	95					
Moon, I., Ahmadzadeh, E., Jaferzadeh, K. & Kim, N. Automated quantification study of human cardiomyocyte synchronization using holographic imaging. Biomed Opt Express 10, 610 (2019).	2019.0	Randomized	iCell	1															
Murphy, J. F. et al. Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues. Stem Cell Res Ther 10, (2019).	2019.0	Randomized	SKiPS-31.3	1		CHIR99021	0-1	IWR1	3-4									Yes	Yes
Nakane, T. et al. Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue. Sci Rep 7, (2017).	2017.0	Top 100	201B6	1		Activin A, BMP4, bFGF, Wnt3a	0-5			5			Flow cytometry for VCAM1+					Yes	Yes
Navaratnarajah, C. K. et al. Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition. J Virol 95, (2021).	2021.0	Randomized	in-house	1	EB	CHIR99021		IWP4											
Ng, R. et al. Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues. Am J Physiol Heart Circ Physiol 318, 15161524 (2020).	2020.0	Randomized	PGP1	1	100	CHIR99021	0-1	IWP	3-5	9							Yes	Yes	Yes
Noor, N. et al. 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts. Advanced Science 6, (2019).	2019.0	Top 100	in-house	1	100	CHIR99021	0-2	IWP2	4-6	8									Yes
Oleaga, C. et al. Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system. Biomaterials 182, 176190 (2018).	2018.0	Top 100	iCell	1															
Oleaga, C. et al. Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs. Sci Rep 6, (2016).	2016.0	Top 100	iCell	1															Yes
Ong, C. S. et al. Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes. Sci Rep 7, (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-1	IWR1	3-5	Not clear			Flow cytometry for VCAM1+	93					Yes
Ozcebe, S. G., Bahcecioglu, G., Yue, X. S. & Zorlutuna, P. Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence. Biomaterials 268, (2021).	2021.0	Randomized	HVRDi007-A	1	90	CHIR99021	0-2	IWP4	4-6	9									
Park, J. et al. Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes. Acta Biomater 102, 220230 (2020).	2020.0	Randomized	Y6	1	90	CHIR99021	0-1	IWP4	3-5	11	No glucose with lactate	12-14						Yes	Yes
Park, S. J. et al. Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue. Circulation 140, 390404 (2019).	2019.0	Top 100	in-house, Cor.4U	2		CHIR99021	0-1	IWR1	3-5		No glucose with lactate	15-18	Flow cytometry for cTnT+	92			Optical stimulation		
Parveen, S., Singh, S. P., Panicker, M. M. & Gupta, P. K. Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis. In Vitro Cell Dev Biol Anim 55, 272284 (2019).	2019.0	Randomized	in-house	1	EB	Activin A, BMP4, bFGF	0-4	BMP4, Activin A, bFGF, VEGF	4-8										
Pasqualini, F. S., Sheehy, S. P., Agarwal, A., Aratyn-Schaus, Y. & Parker, K. K. Structural phenotyping of stem cell-derived cardiomyocytes. Stem Cell Reports 4, 340347 (2015).	2015.0	Top 100	iCell	1															
Pioner, J. M. et al. Isolation and mechanical measurements of myofibrils from human induced pluripotent stem cell-derived cardiomyocytes. Stem Cell Reports 6, 885896 (2016).	2016.0	Top 100	in-house (2)	2		CHIR99021, Activin A	0-3	XAV939	3-x	7			Flow cytometry for cTnT+	60					
Pioner, J. M. et al. Optical investigation of action potential and calcium handling maturation of hiPSC-cardiomyocytes on biomimetic substrates. Int J Mol Sci 20, (2019).	2019.0	Selected	UC3-4 A1	1	70		0-2		2-4	12									
Pires, R. H., Shree, N., Manu, E., Guzniczak, E. & Otto, O. Cardiomyocyte mechanodynamics under conditions of actin remodelling. Philosophical Transactions of the Royal Society B: Biological Sciences 374, (2019).	2019.0	Randomized	iCell	1															
Pointon, A. et al. High-throughput imaging of cardiac microtissues for the assessment of cardiac contraction during drug discovery. Toxicological Sciences 155, 444457 (2017).	2017.0	Randomized	iCell	1															
Polonchuk, L. et al. Cardiac spheroids as promising in vitro models to study the human heart microenvironment. Sci Rep 7, (2017).	2017.0	Selected	Cor.4U	1															Yes
Portillo-Esquivel, L. E., Nanduri, V., Zhang, F., Liang, W. & Zhang, B. z-Wire: A Microscaffold That Supports Guided Tissue Assembly and Intramyocardium Delivery for Cardiac Repair. Adv Healthc Mater 9, (2020).	2020.0	Selected	iCell	1														Yes	Yes
Prajapati, C., Pölönen, R. P. & Aalto-Setälä, K. Simultaneous recordings of action potentials and calcium transients from human induced pluripotent stem cell derived cardiomyocytes. Biol Open 7, (2018).	2018.0	Selected	UTA.04602.WT, UTA.04511.WT	2	EB								IHC for cTnT and RyR2						
Pretorius, D. et al. Layer-By-Layer Fabrication of Large and Thick Human Cardiac Muscle Patch Constructs With Superior Electrophysiological Properties. Front Cell Dev Biol 9, (2021).	2021.0	Randomized	Not listed	Not listed		Yes, Not listed					No glucose with lactate	9-15	Flow cytometry for cTnT+	98					Yes
Pretorius, D., Kahn-Krell, A. M., LaBarge, W. C., Lou, X. & Zhang, J. Engineering of thick human functional myocardium via static stretching and electrical stimulation. iScience 25, (2022).	2022.0	Randomized	hiPSC5, lzhiPSC5	3	90	CHIR99021	0-1	IWR1	3-5	7	No glucose with lactate	9-15	Flow cytometry for cTnT+	96			Yes	Yes	
Pushp, P. et al. Functional comparison of beating cardiomyocytes differentiated from umbilical cord-derived mesenchymal/stromal stem cells and human foreskin-derived induced pluripotent stem cells. J Biomed Mater Res A 108, 496514 (2020).	2020.0	Randomized	DF6-9-9T.B	1	85	CHIR99021	0-1	IWP2	2-5	7			Flow cytometry for cTnT+	33					
Qian, F. et al. Simultaneous electrical recording of cardiac electrophysiology and contraction on chip. Lab Chip 17, 17321739 (2017).	2017.0	Top 100	iCell	1													Yes		
Qu, Y. et al. Inotropic assessment in engineered 3D cardiac tissues using human induced pluripotent stem cell-derived cardiomyocytes in the BiowireTM II platform. J Pharmacol Toxicol Methods 105, (2020).	2020.0	Selected	iCell	1													Yes	Yes	Yes
Quach, B., Krogh-Madsen, T., Entcheva, E. & Christini, D. J. Light-Activated Dynamic Clamp Using iPSC-Derived Cardiomyocytes. Biophys J 115, 22062217 (2018).	2018.0	Randomized	Cor.4U	1													Optical sitmulation		
Querdel, E. et al. Human Engineered Heart Tissue Patches Remuscularize the Injured Heart in a Dose-Dependent Manner. Circulation 143, 19912006 (2021).	2021.0	Selected	UKEi1-A, TC-1133, C25	3	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6-10			Flow cytometry for cTnT+	83				Yes	
Rajamohan, D. et al. Automated electrophysiological and pharmacological evaluation of human pluripotent stem cell-derived cardiomyocytes. Stem Cells Dev 25, 439452 (2016).	2016.0	Selected	FIB-hiPSC, BT1-hiPSC	2		Activin A, BMP4	0-2	KY02111	2-4	4			Flow cytometry for cTnT+	91					
Raval, K. K. et al. Pompe disease results in a Golgi-based glycosylation deficit in human induced pluripotent stem cell-derived cardiomyocytes. Journal of Biological Chemistry 290, 31213136 (2015).	2015.0	Top 100	GM20089, GM20123, GM04912	3		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	80			Yes		
Rehnelt, S. et al. Frequency-dependent multi-well cardiotoxicity screening enabled by optogenetic stimulation. Int J Mol Sci 18, (2017).	2017.0	Randomized	Cor.4U	1													Optical stimulation		
Richards, D. J. et al. Human cardiac organoids for the modelling of myocardial infarction and drug cardiotoxicity. Nat Biomed Eng 4, 446462 (2020).	2020.0	Selected	iCell	2	EB														
Richards, D. J. et al. Inspiration from heart development: Biomimetic development of functional human cardiac organoids. Biomaterials 142, 112123 (2017).	2017.0	Selected	iCell	1															
Richards, D. J. et al. Nanowires and electrical stimulation synergistically improve functions of hiPSC cardiac spheroids. Nano Lett 16, 46704678 (2016).	2016.0	Top 100	iCell	1													Yes		
Rogers, A. J., Fast, V. G. & Sethu, P. Biomimetic Cardiac Tissue Model Enables the Adaption of Human Induced Pluripotent Stem Cell Cardiomyocytes to Physiological Hemodynamic Loads. Anal Chem 88, 98629868 (2016).	2016.0	Selected	iCell	1															
Ronaldson-Bouchard, K. et al. A multi-organ chip with matured tissue niches linked by vascular flow. Nat Biomed Eng 6, 351371 (2022).	2022.0	Selected	WTC11	1	100	Activin A, BMP4	0-1	VEGF	1-3	3			Flow cytometry for cTnT+	85			Yes	Yes	Yes
Ronaldson-Bouchard, K. et al. Advanced maturation of human cardiac tissue grown from pluripotent stem cells. Nature 556, 239243 (2018).	2018.0	Top 100	BS2, C2A, IMR-90, WTC11	4	100	Activin A, BMP4	0-3			3			Flow cytometry for cTnT+	85			Yes	Yes	Yes
Roshanbinfar, K. et al. Carbon nanotube doped pericardial matrix derived electroconductive biohybrid hydrogel for cardiac tissue engineering. Biomater Sci 7, 39063917 (2019).	2019.0	Randomized	F1	1	90	CHIR99021	0-2	IWR1	3-5	7							Conductive material		
Ruan, J. L. et al. Mechanical Stress Conditioning and Electrical Stimulation Promote Contractility and Force Maturation of Induced Pluripotent Stem Cell-Derived Human Cardiac Tissue. Circulation 134, 15571567 (2016).	2015.0	Top 100	IBJ, IMR-90	2	80	Activin A, BMP4, CHIR99021, bFGF	0-2	XAV939, IWP2	2-3				Flow cytometry for cTnT+	63				Yes	Yes
Rupert, C. E., Irofuala, C. & Coulombe, K. L. K. Practical adoption of state-of-the-art hiPSC-cardiomyocyte differentiation techniques. PLoS One 15, (2020).	2020.0	Selected	Gibco episomal, NCRM-5, WTC11	3		CHIR99021	0-1	IWP2	3-5	9, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	82				Yes	Yes
Rupert, C. E., Kim, T. Y., Choi, B. R. & Coulombe, K. L. K. Human Cardiac Fibroblast Number and Activation State Modulate Electromechanical Function of hiPSC-Cardiomyocytes in Engineered Myocardium. Stem Cells Int 2020, (2020).	2020.0	Selected	Gibco episomal	1	70	CHIR99021	Not listed	IWP2	Not listed	7			Flow cytometry for cTnT+	52				Yes	Yes
