Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types
Cyganek, L. et al. Deep phenotyping of human induced pluripotent stem cell-derived atrial and ventricular cardiomyocytes. JCI Insight 3, (2018).	2018.0	Top 100	UMGi001-A, UMGi005-A, UMGi014-A	3	85	CHIR99021	0-2	IWP2	2-4	8, not 15-20	No glucose with lactate	15-20	Flow cytometry for cTnT+	90			Yes	Yes	Yes					ECM-coated plastic/glass	Collagen + matrigel	CM + SC
Czirok, A. et al. Optical-flow based non-invasive analysis of cardiomyocyte contractility. Sci Rep 7, (2017).	2017.0	Randomized	in-house	1	85	BIO, bFGF	0-2	Wnt-C59	2-7				Flow cytometry for cTnT+; Flow cytometry for NKX2-5+	85										ECM-coated plastic/glass		
Dai, Y. et al. Troponin destabilization impairs sarcomere-cytoskeleton interactions in iPSC-derived cardiomyocytes from dilated cardiomyopathy patients. Sci Rep 10, (2020).	2020.0	Randomized	in-house	3	85	CHIR99021	0-2	IWP2	2-4	7			Flow cytometry for cTnT+	90				Yes		Yes				ECM-coated plastic/glass	Collagen	CM
Daly, A. C., Davidson, M. D. & Burdick, J. A. 3D bioprinting of high cell-density heterogeneous tissue models through spheroid fusion within self-healing hydrogels. Nat Commun 12, (2021).	2021.0	Top 100	iCellA, iCellB	2										97					Yes						3D printing	CM + SC
de Lange, W. J. et al. Human iPSC-engineered cardiac tissue platform faithfully models important cardiac physiology. Am J Physiol Heart Circ Physiol 320, H1670ÂH1686 (2021).	2021.0	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	17-24	Visual Inspection	95				Yes	Yes						Fibrin	CM + SC
De Leeuw, V. C. et al. Going Back and Forth: Episomal Vector Reprogramming of Peripheral Blood Mononuclear Cells to Induced Pluripotent Stem Cells and Subsequent Differentiation into Cardiomyocytes and Neuron-Astrocyte Co-cultures. Cell Reprogram 22, 300Â310 (2020).	2020.0	Randomized	in-house	1		StemCell Differentiation kit	0-4		6-8	8														ECM-coated plastic/glass		
Depalma, S. J., Davidson, C. D., Stis, A. E., Helms, A. S. & Baker, B. M. Microenvironmental determinants of organized iPSC-cardiomyocyte tissues on synthetic fibrous matrices. Biomater Sci 9, 93Â107 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	9, not 11-15	No glucose with lactate	11-15									Yes			Electrospun fibers		
Dias, T. P. et al. Biophysical study of human induced Pluripotent Stem Cell-Derived cardiomyocyte structural maturation during long-term culture. Biochem Biophys Res Commun 499, 611Â617 (2018).	2018.0	Randomized	DF6-9-9T.B	1	95	CHIR99021	0-1	IWP4	3-5	7														ECM-coated plastic/glass		
Diez-CuÃ±ado, M. et al. miRNAs that Induce Human Cardiomyocyte Proliferation Converge on the Hippo Pathway. Cell Rep 23, 2168Â2174 (2018).	2018.0	Top 100	iCell	1																				ECM-coated plastic/glass		
Dipalo, M. et al. Plasmonic meta-electrodes allow intracellular recordings at network level on high-density CMOS-multi-electrode arrays. Nat Nanotechnol 13, 965Â971 (2018).	2018.0	Top 100	Cor.4U	1																				MEA		
Dou, W. et al. A microdevice platform for characterizing the effect of mechanical strain magnitudes on the maturation of iPSC-Cardiomyocytes. Biosens Bioelectron 175, (2021).	2021.0	Selected	iCell2	1																Yes		Yes		ECM-coated PDMS		
Dou, W. et al. Label-free conduction velocity mapping and gap junction assessment of functional iPSC-Cardiomyocyte monolayers. Biosens Bioelectron 167, (2020).	2020.0	Randomized	iCell2	1																				ECM-coated plastic/glass		
Du, D. T. M., Hellen, N., Kane, C. & Terracciano, C. M. N. Action potential morphology of human induced pluripotent stem cell-derived cardiomyocytes does not predict cardiac chamber specificity and is dependent on cell density. Biophys J 108, 1Â4 (2015).	2015.0	Top 100	iCell	1																				ECM-coated plastic/glass		
Dwenger, M. et al. Chronic optical pacing conditioning of h-iPSC engineered cardiac tissues. J Tissue Eng 10, (2019).	2019.0	Selected	201B6	1		Activin A, Wnt3a	0-1	BMP4, bFGF	1-5								Optical pacing	Yes	Yes						Collagen + matrigel	CM + EC + SC
Edri, R. et al. Personalized Hydrogels for Engineering Diverse Fully Autologous Tissue Implants. Advanced Materials 31, (2019).	2019.0	Top 100	in-house	1	100	CHIR99021	0-1	IWP2	4-5	8			Flow cytometry for cTnT+; Flow cytometry for NKX2-5	70											Decellularized tissue	CM
Edwards, S. L. et al. A Multiwell Cardiac ?GMEA Platform for Action Potential Recordings from Human iPSC-Derived Cardiomyocyte Constructs. Stem Cell Reports 11, 522Â536 (2018).	2018.0	Randomized	ATCC	1		CHIR99021	0-2	IWR1	3-5				Flow cytometry for cTnT+	90										MEA		
El?Battrawy, I. et al. Deciphering the pathogenic role of a variant with uncertain significance for short QT and Brugada syndromes using gene?edited human?induced pluripotent stem cell?derived cardiomyocytes and preclinical drug screening. Clin Transl Med 11, (2021).	2021.0	Randomized	ipWT1.3/UMGi014-B.3, LHpb-YaabC3, in-house	3		Yes, Not listed					Metabolic (not specified		Flow cytometry for cTnT+	85										ECM-coated plastic/glass		
Ellis, B. W. et al. Human Heart Anoxia and Reperfusion Tissue (HEART) Model for the Rapid Study of Exosome Bound miRNA Expression As Biomarkers for Myocardial Infarction. Small 18, (2022).	2022.0	Randomized	HVRDi007-A	1	95	CHIR99021	0-1	IWP4	4-6	9									Yes	Flow					Collagen	CM + EC
Eng, G. et al. Autonomous beating rate adaptation in human stem cell-derived cardiomyocytes. Nat Commun 7, (2016).	2015.0	Selected	C2A	1	EB	Activin A, BMP4, bFGF	0-3	XAV939	3-7				Flow cytometry for cTnT+	55			Yes								Scaffold free	CM
Ergir, E. et al. Generation and maturation of human iPSC-derived 3D organotypic cardiac microtissues in long-term culture. Sci Rep 12, (2022).	2022.0	Selected	DF19-9-7T, WTC11	2	100	CHIR99021, BMP4	0-1	IWP2	2-4	7			Flow cytometry for cTnT+	82										ECM-coated plastic/glass	Scaffold free	CM
Feaster, T. K., Casciola, M., Narkar, A. & Blinova, K. Acute effects of cardiac contractility modulation on human induced pluripotent stem cellÂderived cardiomyocytes. Physiol Rep 9, (2021).	2021.0	Selected	iCell	1													Calcium concentration					Yes		Thick matrigel		
Feric, N. T. et al. Engineered Cardiac Tissues Generated in the Biowire II: A Platform for Human-Based Drug Discovery. Toxicological Sciences 172, 89Â97 (2019).	2019.0	Selected	iCell	1																					Collagen + fibrin + matrigel	CM + SC
Finklea, F. B. et al. Engineered cardiac tissue microsphere production through direct differentiation of hydrogel-encapsulated human pluripotent stem cells. Biomaterials 274, (2021).	2021.0	Randomized	IMR-90, DF19-9-11T.H, SCV-I55, UA16F2	4		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+; Flow cytometry for MF20	70						Flow				ECM-coated plastic/glass	PEG + ECM	CM
Fischer, B. et al. A complete workflow for the differentiation and the dissociation of hiPSC-derived cardiospheres. Stem Cell Res 32, 65Â72 (2018).	2018.0	Randomized	UKBi005-A, IBMT1	2	EB	CHIR99021, BMP4	0-1	IWP2	2-3				IHC a-actinin	95										ECM-coated plastic/glass		
Fleischer, S., Jahnke, H. G., Fritsche, E., Girard, M. & Robitzki, A. A. Comprehensive human stem cell differentiation in a 2D and 3D mode to cardiomyocytes for long-term cultivation and multiparametric monitoring on a multimodal microelectrode array setup. Biosens Bioelectron 126, 624Â631 (2019).	2019.0	Randomized	IMR-90	1	87.5	CHIR98014	0-1	IWP4	3-5				Flow cytometry for cTnT+	90											Scaffold free	CM
Floy, M. E. et al. Direct coculture of human pluripotent stem cell-derived cardiac progenitor cells with epicardial cells induces cardiomyocyte proliferation and reduces sarcomere organization. J Mol Cell Cardiol 162, 144Â157 (2022).	2022.0	Randomized	WTC11, WTC11, DF19-9-11T.H	3	85	CHIR99021	0-1	IWP2	3-5				Flow cytometry for cTnT+	85					Yes					ECM-coated plastic/glass		
Fong, A. H. et al. Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Tissue Eng Part A 22, 1016Â1025 (2016).	2016.0	Top 100	WTC11	1	82.5	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85									Yes		Decellularized tissue	CM
Fukushima, H. et al. Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells. PLoS One 15, (2020).	2020.0	Selected	836B3, 253G1,1201C1	3	100	Activin A, BMP4, bFGF	0-5	XAV939, IWP4	5-9	7	Cell sorting		Flow cytometry for cTnT+	97										ECM-coated plastic/glass		
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 1318Â1325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-2	Unclear	3-5		No glucose with lactate	8-14	Flow cytometry for cTnT+	96				Yes	Yes	Flow 					Fibrin	CM + EC + SC
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 1318Â1325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-1	Not listed	3-5	7, not 20-30	No glucose and lactate	20-30	IHC cTnI, cTnT, a-actinin, cx43, MLC-2v	95					Yes		Yes		Yes		Decellularized ECM, PEG, 3D printing	CM + EC + SC
Garay, B. I. et al. Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes. Stem Cell Reports 17, 2005Â2022 (2022).	2022.0	Selected	PLZ, MYL2-mEGFP, 19004	3	77.5	CHIR99021	0-2	IWP2	2-4	6	No glucose with lactate	16-20	Flow cytometry for cTnT+	99							Yes			ECM-coated plastic/glass and Micropatterned polyacrlyamide gels		
Garreta, E. et al. Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts. Biomaterials 98, 64Â78 (2016).	2016.0	Top 100	ESi048-A	1		CHIR99021	0-1	IWP4	3-5	5										Yes				Decellularized ECM		
Giacomelli, E. et al. Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease. Cell Stem Cell 26, 862-879.e11 (2020).	2020.0	Top 100	LUMCi004-A, LUMCi026-A, LUMCi028-A, NCRM-1	4		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6				Flow cytometry for cTnT+	80					Yes						Scaffold free	CM + EC + SC
Giacomelli, E. et al. Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells. Development (Cambridge) 144, 1008Â1017 (2017).	2017.0	Top 100	in-house	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6		Cell sorting	14	Flow cytometry for VCAM1	79					Yes						Scaffold free	CM + EC
Goldfracht, I. et al. Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications. Acta Biomater 92, 145Â159 (2019).	2019.0	Top 100	in-house	1	85	CHIR99021	0-1	Wnt-C59	2-4				Flow cytometry for cTnT+	85						Yes			Yes		Decellularized tissue	CM
Goversen, B. et al. A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time. Front Physiol 8, (2018).	2018.0	Randomized	Cor.4U	1																				ECM-coated plastic/glass		
Guan, G. et al. Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart. Bioact Mater 6, 4415Â4429 (2021).	2021.0	Selected	ATCC	1		CHIR99021	0-2	Wnt-C59	2-4				Flow cytometry for CD31+	85									Yes		Decellularized ECM, 3D printing	CM + EC
Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 3746Â3754 (2019).	2019.0	Randomized	in-house	1		Activin A, BMP4, bFGF	0-4						Flow cytometry for cTnT+												PEG	CM + SC
Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 2973Â2989 (2021).	2021.0	Selected	WTC11	1		CHIR99021	0-2	IWP2	2-4	6, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	86								Yes		ECM-coated PDMS		
Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 56Â72 (2016).	2016.0	Top 100	BJ-RiPS-1.1	1		CHIR99021	0-2	IWP4	2-5	6			Flow cytometry for cTnT+; For cytometry for a-actinin	85						Yes			Yes		Decellularized tissue	CM
Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740Â750 (2016).	2016.0	Top 100	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-5	5			Flow cytometry for cTnT+											Electrospun fibers		
Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018).	2018.0	Randomized	iCell2	1																	Yes			MEA		
Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 1251Â1256 (2018).	2018.0	Randomized	201B7	1		BMP4	0-1	IWP3	4-8															ECM-coated plastic/glass		
Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565Â578 (2019).	2019.0	Randomized	iCell	1																				ECM-coated plastic/glass		
Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016).	2016.0	Top 100	iCell	1																		Yes		ECM-coated PDMS		
Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 1126Â1141 (2019).	2019.0	Randomized	in-house (3)	3	85	StemCell Differentiation kit	0-4		6-8	8			Flow cytometry for cTnT+	80										ECM-coated plastic/glass		
Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019).	2019.0	Randomized	in-house	1		CHIR99021	0-1	IWP2 or IWP4	2-5	7	No glucose with lactate	12-14												ECM-coated plastic/glass		
Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021).	2021.0	Selected	WTC11, IMBAi001-A, IMBAi002-A, 178/5	4	EB	Activin A, BMP4, CHIR99021, bFGF	0-2	BMP4, bFGF, IWP2	2-6	7			Flow cytometry for cTnI+	90					Yes						Scaffold free	CM + EC + SC
Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944Â954 (2020).	2020.0	Selected	201B7	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5		aMHC-Puromycin resistance selection		Flow cytometry for cTnT+	99								Yes			Scaffold free	CM
Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773Â785 (2019).	2019.0	Randomized	WTC11	1	100	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	85					Yes						Scaffold free	CM + SC
HorvÃ¡th, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822Â833 (2018).	2018.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS07	3-7	3								Yes							Fibrin + matrigel	CM
Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467Â479 (2015).	2015.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	70										ECM-coated plastic/glass		
Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016).	2016.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	91				Yes	Yes						Scaffold free	CM + SC
Huethorst, E. et al. Customizable, engineered substrates for rapid screening of cellular cues. Biofabrication 12, (2020).	2020.0	Randomized	Pluricyte	1																	Yes			Nanotopography		
Hwang, G. H. et al. Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system. J Cell Physiol 232, 3384Â3395 (2017).	2017.0	Randomized	ATCC	1		CHIR99021	0-1	XAV939, IWP2	3-5	7			Flow cytometry for cTnT+	98										ECM-coated plastic/glass		CM
Hwang, H. S. et al. Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories. J Mol Cell Cardiol 85, 79Â88 (2015).	2015.0	Top 100	13FLVN0C1, CC2, DF19-9-11T.H	3	80	CHIR99021	0-1	IWP1	3-5	7			Flow cytometry for cTnT+	88										ECM-coated plastic/glass		
Iseoka, H. et al. Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue. Tissue Eng Part A 24, 287Â300 (2018).	2018.0	Selected	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	92					Yes						Scaffold free	CM + SC
Jabbour, R. J. et al. In vivo grafting of large engineered heart tissue patches for cardiac repair. (2021).	2021.0	Selected	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-4	8	No glucose	11-15	Flow cytometry for cTnT+	97								Yes			Fibrin	CM
Jayne, R. K. et al. Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers. Lab Chip 21, 1724Â1737 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	7, not 9-13	No glucose with lactate	9-13								Yes					Collagen	CM + SC
Jeziorowska, D. et al. Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs. Aggregation-based differentiation protocols. Int J Mol Sci 18, (2017).	2017.0	Selected	in-house (4)	4	2D: 75, 3D: EB	Activin A, BMP4, CHIR99021	0-3	IWR1 or IWP2	3-5; 4-8				Flow cytometry for cTnT+	54										ECM-coated plastic/glass	Scaffold free	CM
Jha, R. et al. A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells. FASEB Journal 34, 14336Â14352 (2020).	2020.0	Randomized	IMR-90, SCVI-273	2	85	CHIR99021	0-2	IWR1	3-5	5			Flow cytometry for cTnT+; Flow cytometry for a-actinin+	84, 79										ECM-coated plastic/glass		
Jia, J. et al. Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications. Acta Biomater 45, 110Â120 (2016).	2016.0	Randomized	iCell	1																		Yes		Hydrogel		
Jiang, X. et al. Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts. J Biosci Bioeng 132, 198Â205 (2021).	2021.0	Randomized	Not listed	1	90	CHIR99021, rapamycin	0-1	XAY939, KY02111, BMS493	3-7	8, not 10-14	No glucose with lactate	10-14	Flow cytometry for cTnT+	81				Yes	Yes						Collagen + matrigel	CM + SC
Jiang, Y. et al. Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction. Stem Cell Res Ther 12, (2021).	2021.0	Selected	KS1	1	75	CHIR99021	0-1	IWP2	4-6	8	No glucose with lactate	Unclear											Yes		Decellularized tissue	CM
Jung, G. et al. Time-dependent evolution of functional vs. remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation. FASEB Journal 30, 1464Â1479 (2016).	2016.0	Top 100	in-house	3	90	CHIR99021	0-2	IWR1	3-4	7	No glucose	10-15												Microgrooves in PDMS		
Kaiser, N. J., Kant, R. J., Minor, A. J. & Coulombe, K. L. K. Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes. ACS Biomater Sci Eng 5, 887Â899 (2019).	2019.0	Selected	Gibco episomal	2		CHIR99021	0-3	IWP2		15, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	45											Collagen + fibrin	CM
Kallepitis, C. et al. Quantitative volumetric Raman imaging of three dimensional cell cultures. Nat Commun 8, (2017).	2017.0	Top 100	Gibco episomal	1	100	CHIR99021	0-1	IWP4	3-5	7, not 9-12	No glucose and lactate	9-12												ECM-coated plastic/glass		
Kawaguchi, S. et al. Intramyocardial Transplantation of Human iPS CellÂDerived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals. JACC Basic Transl Sci 6, 239Â254 (2021).	2021.0	Selected	253G4	1	EB	CHIR99021, BMP4		IWR1		7, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	98											Scaffold free	CM
Kawai, Y. et al. Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo. Front Cardiovasc Med 8, (2022).	2022.0	Randomized	253G4	1	90	CHIR99021	0-1	IWR1	3-6		StemFit Media	12-14	Flow cytometry for cTnT+	99				Yes	Yes						Scaffold free	CM + EC + SC
Kawatou, M. et al. Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue. Nat Commun 8, (2017).	2017.0	Top 100	836B3	1		Activin A, BMP4, bFGF	0-5	XAV939, IWP4	1-9	1			Flow cytometry for cTnT+	96										ECM-coated plastic/glass		
Kerscher, P. et al. Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues. Biomaterials 83, 383Â395 (2016).	2016.0	Selected	IMR-90, DF19-9-11T.H	2		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	74											PEG + ECM	CM
Khan, M. et al. Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch. PLoS One 10, (2015).	2015.0	Top 100	iCell	1																	Yes			Electrospun fibers		
King, O. et al. Functional microvascularization of human myocardium in vitro. Cell Reports Methods 2, (2022).	2022.0	Selected	WTC11	1	95	CHIR99021	0-2	Wnt-C59	3-5	9	No glucose	11-15							Yes	Flow					Fibrin	CM + EC + SC
Kit-Anan, W. et al. Multiplexing physical stimulation on single human induced pluripotent stem cell-derived cardiomyocytes for phenotype modulation. Biofabrication 13, (2021).	2021.0	Randomized	Gibco episomal	1	85	CHIR99021	0-2	Wnt-C59	3-5	7	No glucose with lactate		Flow cytometry for cTnT+								Yes	Yes		Micropatterned PAA		
Kofron, C. M. et al. A predictive in vitro risk assessment platform for pro-arrhythmic toxicity using human 3D cardiac microtissues. Sci Rep 11, (2021).	2021.0	Selected	Gibco episomal	1		CHIR99021	0-2	IWP2	2-?	7, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	84			Yes		Yes						Scaffold free	CM + SC
Kolanowski, T. J. et al. Enhanced structural maturation of human induced pluripotent stem cell-derived cardiomyocytes under a controlled microenvironment in a microfluidic system. Acta Biomater 102, 273Â286 (2020).	2020.0	Randomized	iWT.D2.1/2.3, UMGi005-A	2	90	CHIR99021	0-2	IWP2	2-4	6			Flow cytometry for cTnT+	90						Flow				Silicon membrane, microfluidic device		
Kroll, K. et al. Electro-mechanical conditioning of human iPSC-derived cardiomyocytes for translational research. Prog Biophys Mol Biol 130, 212Â222 (2017).	2017.0	Selected	Cor.4U	1													Yes			Yes		Yes		ECM-coated PDMS		
Kujala, V. J., Pasqualini, F. S., Goss, J. A., Nawroth, J. C. & Parker, K. K. Laminar ventricular myocardium on a microelectrode array-based chip. J Mater Chem B 4, 3534Â3543 (2016).	2016.0	Randomized	Cor.4U	1							Cell sorting										Yes			MEA, Microgrooves		
Kumar, N. et al. Scalable Biomimetic Coaxial Aligned Nanofiber Cardiac Patch: A Potential Model for ÂClinical Trials in a DishÂ. Front Bioeng Biotechnol 8, (2020).	2020.0	Selected	iCell	1																	Yes			Electrospun fibers		
Kurokawa, Y. K., Shang, M. R., Yin, R. T. & George, S. C. Modeling trastuzumab-related cardiotoxicity in vitro using human stem cell-derived cardiomyocytes. Toxicol Lett 285, 74Â80 (2018).	2018.0	Randomized	WTC11	1	85	CHIR99021	0-2	IWP2	3-5	7, not 13-21	No glucose with lactate	13-21	Flow cytometry for cTnT+	95										ECM-coated plastic/glass		
LaBarge, W. et al. Maturation of three-dimensional, hiPSC-derived cardiomyocyte spheroids utilizing cyclic, uniaxial stretch and electrical stimulation. PLoS One 14, (2019).	2019.0	Selected	in-house	1		CHIR99021	0-1	IWR1	2-4	4	No glucose with lactate	10-12, 13-16					Yes			Yes					Scaffold free	CM
Lam, Y. Y. et al. Single-cell transcriptomics of engineered cardiac tissues from patient-specific induced pluripotent stem cellÂderived cardiomyocytes reveals abnormal developmental trajectory and intrinsic contractile defects in hypoplastic right heart syndrome. J Am Heart Assoc 9, (2020).	2020.0	Randomized	in-house (6)	6	EB	Activin A, BMP4	0-1	IWR1	3-7	14			Flow cytometry for cTnT+	60				Yes	Yes		Yes	Yes		Microgrooves	Collagen + matrigel	CM + SC
Lauschke, K. et al. Creating a human-induced pluripotent stem cell-based NKX2.5 reporter gene assay for developmental toxicity testing. Arch Toxicol 95, 1659Â1670 (2021).	2021.0	Randomized	BIONi010-C	1	EB	Activin A, BMP4, CHIR99021, bFGF	0-1	Wnt-C59	2-3																	
Lee, S. et al. Contractile force generation by 3D hiPSC-derived cardiac tissues is enhanced by rapid establishment of cellular interconnection in matrix with muscle-mimicking stiffness. Biomaterials 131, 111Â120 (2017).	2017.0	Selected	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12										Yes			PEG + ECM	CM
Lee, S. et al. Ultrasoft electronics to monitor dynamically pulsing cardiomyocytes. Nat Nanotechnol 14, 156Â160 (2019).	2019.0	Top 100	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6												Yes	Yes		Electrospun fibers		
Lemme, M. et al. Chronic intermittent tachypacing by an optogenetic approach induces arrhythmia vulnerability in human engineered heart tissue. Cardiovasc Res 116, 1487Â1499 (2020).	2020.0	Selected	UKE-1	1	EB	Activin A, BMP4, bFGF	0-3	XAV939	3-10	6			Flow cytometry for cTnT+	92			Yes	Yes							Fibrin	CM
