Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
Block, T. et al. Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes. Sci Rep 10, (2020).	2020.0	Selected	iCell	1																			Yes	ECM-coated plastic/glass								Yes		Yes														Patch clamp	34.9		-79.0				tamoxifen, nifedipine, nitrendipine, ranolazine, diltiazem, metoprolol, verapamil, domperidone, droperidol, clozapine, terfenadine, astemizole, cisapride, pimozide, risperidone, ondansetron, disopyramide, quinidine, DI sotalol, bepridil, dofetilide, azimilide, ibutilide, vandetanib
Bobis-Wozowicz, S. et al. Human Induced Pluripotent Stem Cell-Derived Microvesicles Transmit RNAs and Proteins to Recipient Mature Heart Cells Modulating Cell Fate and Behavior. Stem Cells 33, 2748Â2761 (2015).	2015.0	Top 100	in-house	1		5-azacytydine	0-1																	ECM-coated plastic/glass																														RNA-seq, PCR	
Borchert, T. et al. Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy. J Am Coll Cardiol 70, 965-991 (2017).	2017.0	Top 100	in-house	3	90	CHIR99021	0-2	IWP2	3-5	10	No glucose with lactate	30-33	Flow cytometry for cTnT+	90											Collagen	CM + SC	hFF		70, 0, 30	30.0		Yes										Dye	5.0	40.0	250	1000 (time to 50%)									
Branco, M. A. et al. Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture. Sci Rep 9, (2019).	2019.0	Selected	DF6-9-9T.B, F002.1A.13, Gibco episomal	3	92.5	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90										ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0	1.0	0.07	Yes		Yes		1500												Patch clamp					Glucose consumption and Lactate production rate analysis	RNA-seq, PCR	
Brink, L. van den et al. Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties. Stem Cell Res 43, (2020).	2020.0	Selected	LUMC0020iCTRL, LUMC0099iCTRL	2		CHIR99021	0-2	XAV939, IWP-L6	2-4				Flow cytometry for cTnT+	80										ECM-coated plastic/glass								Yes						Motion tracking analysis			time to peak=0.22s							Patch clamp		100	-78.0			PCR	
Buikema, J. W. et al. Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes. Cell Stem Cell 27, 50-63.e5 (2020).	2020.0	Top 100	SCVI-111, SCVI-113, SCVI-273, SCVI-202	4	100	CHIR99021	0-2	Wnt-C59	3-5	7			Flow cytometry for cTnT+	85				Yes						Micropatterned PAA	Fibrin + matrigel	CM			100, 0, 0	10.3	10.2	Yes		Yes				Post deflection	0.25		20		4.0					Patch clamp; optical mapping						RNA-seq	
Burnett, S. D. et al. Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes. Toxicol Appl Pharmacol 381, (2019).	2019.0	Selected	iCell, CDI (42)	43																				ECM-coated plastic/glass																		Dye		21.0											minobispropanenirtile, hexanedioic acid, titanocene dichloride, 2-amino-4-chlorophenol, 1-4-benzoquinone, di(2-ethylhexyl)phthalate, 3-4-dichlorophenyl isocyanate, isodecyl diphenyl phosphate, azobenzene, bisophenol A, tris(2-chloroethyl)phosphate, 2-ethylhexyl diphenyl phosphate, 3-3-5-5-tetrabromobisphenol A, tert-butyl phosphates isopropylated, triphenyl phosphate, tris(methylphenyl)phosphate, thiabendazole, aldicarb, captan, endosultan, 8-hydroxyquinoline, aldrin, myclobutanil, dichlorodiphenyltrichloroethane, dieldrin, heptachlor, parathion, chlorpyrifos, carbaryl, 2-phenylphenol, dazomet, acetochlor, deltamethrin, permethrin, tebuconazole, 3-iodo-2-propynyl-n-butylcarbamate, hexachlorophene, gentian violet, rotenone, manganese(2)acetate, (CH3-cyclopentadienyl)tricarbonyl Mn, methylmercuric(2)chloride, hydroxyurea, acetylsalicylic acid, atenolol, acetaminophen, sodium valproate, 6-propyl-2-thiouracil, phenobarbital sodium, thalidomide, rantidine, 6-thioquanine, 5-fluotouracil, citalopram hydrobromide, disulfiram, pyrimethamine, rantidine hydrochloride, colchicine, lidocaine, progesterone, lamotrigine, flutamide, lindane, mexiletine hydrochloride, moxifloxacin hydrochloride, nifedipine, n-acetylprocainamide, triameterene, vernacalant, cabazitaxel, ranolazine, loratadine, propafenone, quinidine sulfate, tamoxifen, bepridil hydrochloride, chlorpromazine hydrochloride, reserpine, ditiazem, diethylstilbestrol, mifepristone, mifepristone2, sotalol hydrochloride, amitriptyline hydrochloride, sotalol, mitrendipine, terfenadine, verapamil hydrochloride, sematilide, azithromycin, ibutilide fumarate, cisapride monohydrate, dofetilide
Cao, Y. et al. Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring. Proc Natl Acad Sci U S A 114, E1866ÂE1874 (2017).	2017.0	Top 100	Not listed	1																		Yes		Nanotopography									SEM																					PCR	
Carson, D. et al. Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells. ACS Applied Materials and Interfaces 8, 21923Â21932 (2016).	2016.0	Top 100	IMR-90	1	100	Activin A, BMP4, CHIR 99021	0-5	XAV939	5-7	7			Flow cytometry for cTnT+	80							Yes			Nanotopography								Yes		Yes	1.8																				
Cashman, T. J., Josowitz, R., Johnson, B. V., Gelb, B. D. & Costa, K. D. Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy. PLoS One 11, (2016).	2016.0	Top 100	in-house	1	EB	Activin A, BMP4	0-1 (BMP4), 2-4 (both)	IWR1	4-8		Cell sorting							Yes	Yes						Collagen + matrigel	CM + SC	hiPSC-SC		75, 0, 25	10.0	5							Post deflection	0.05		500 uN/s											2.5		PCR	isoproterenol
Chelko, S. P. et al. Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy. Circulation 140, 1491Â1505 (2019).	2019.0	Top 100	in-house	2	80	CHIR99021	0-2	IWR1	3-5	9, not 15-19	No glucose with lactate	15-19												ECM-coated plastic/glass								Yes																							
Chen, P. et al. Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue. Biomaterials 131, 47Â57 (2017).	2017.0	Top 100	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12	IHC a-actinin	98							Yes				Scaffold free	CM			100, 0, 0	1.7		Yes						Motion tracking analysis		0.225													Reduction assay 		
Chen, T. & Vunjak-Novakovic, G. Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury. Tissue Eng Part A 25, 711Â724 (2019).	2019.0	Selected	WTC11	1	92.5	CHIR99021	0-2	Wnt-C59	2-4	12								Yes							Collagen + fibrin	CM			100, 0, 0	25.0	14	Yes						Motion tracking analysis																	
Chen, V. C. et al. Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells. Stem Cell Res 15, 365Â375 (2015).	2015.0	Selected	in-house	1	EB	CHIR99021	0-1	IWP4	2-4	4			Flow cytometry for cTnT+	96										ECM-coated plastic/glass								Yes																Patch clamp		118	-61.3			RNA-seq	
Chen, Y., Chan, J. P. Y., Wu, J., Li, R. K. & Santerre, J. P. Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite. J Biomed Mater Res A 110, 1932Â1943 (2022).	2022.0	Randomized	iCell2	1																	Yes			Electrospun fibers								Yes	SEM	Yes		1250						Dye		15.0			11.0								
Cheng, J. et al. An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population. J Am Heart Assoc 6, (2017).	2017.0	Randomized	iCell	1																				ECM-coated plastic/glass																								Patch clamp							
Chopra, A. et al. Force Generation via ?-Cardiac Myosin, Titin, and ?-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. Dev Cell 44, 87-96.e5 (2018).	2018.0	Top 100	PGP1	1		CHIR99021	0-1	IWP4	3-5	7	No glucose and lactate	9-11	Flow cytometry for cTnT+	90										Micropatterned PDMS, Micropatterned PAA	Collagen + fibrin	CM + SC	hMSC		70, 0, 30		0.01	Yes		Yes																					
Chun, Y. W. et al. Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes. Biomaterials 67, 52Â64 (2015).	2015.0	Top 100	CC2	1		Activin A, BMP4, bFGF	0-5			5			Flow cytometry for cTnT+	95							Yes			Electrospun fibers								Yes						TFM	0.0002														TMRM staining	RNA-seq, PCR	
Correia, C. et al. 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes. Biotechnol Bioeng 115, 630Â644 (2018).	2018.0	Top 100	DF19-9-11T.H, UKKi006-A	2	85	CHIR99021	0-1	IWR1	1-3	7			Flow cytometry for cTnT+	80										ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0	0.36	0.06	Yes	TEM		1.5									50.0				Optical mapping					Metabolic flux	Transcriptomics	
Cortes, D. et al. BEaTS-? an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells. Sci Rep 10, (2020).	2020.0	Randomized	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-14					Yes			Yes				ECM-coated plastic/glass								Yes		Yes	1.9																			PCR	
Crombie, D. E. et al. FriedreichÂs ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency. Aging 9 1440-1449 (2017).	2017.0	Randomized	in-house	1		CHIR99021	0-2	KY02111, XAV939	3-8				IHC: cTnT, cTnI, NKX2-5											ECM-coated plastic/glass								Yes										Dye						MEA						PCR	isoproterenol, nifedipine
Cui, H. et al. 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction. Sci Adv 26,  (2020).	2020.0	Selected	in-house	1	85	CHIR99021	0-1	IWP2	2-5	7									Yes	Flow 	Yes				PEG + ECM	CM + EC + SC	hMSC	HUVEC	33, 33, 33		4	Yes										Dye	2.0											PCR	
Cui, N. et al. Doxorubicin-induced cardiotoxicity is maturation dependent due to the shift from topoisomerase II? to II? in human stem cell derived cardiomyocytes. J Cell Mol Med 23, 4627Â4639 (2019).	2019.0	Randomized	Cellapy	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-15	Flow cytometry for cTnT+	95										ECM-coated plastic/glass								Yes			2.5		Yes					Dye												PCR	doxorubicin, caffeine
Cyganek, L. et al. Deep phenotyping of human induced pluripotent stem cell-derived atrial and ventricular cardiomyocytes. JCI Insight 3, (2018).	2018.0	Top 100	UMGi001-A, UMGi005-A, UMGi014-A	3	85	CHIR99021	0-2	IWP2	2-4	8, not 15-20	No glucose with lactate	15-20	Flow cytometry for cTnT+	90			Yes	Yes	Yes					ECM-coated plastic/glass	Collagen + matrigel	CM + SC	hFF		70, 0, 30	15.0	4	Yes						Post deflection	1.2			Dye			300			Optical mapping						RNA-seq, PCR	isoproterenol, carbamylcholine
Czirok, A. et al. Optical-flow based non-invasive analysis of cardiomyocyte contractility. Sci Rep 7, (2017).	2017.0	Randomized	in-house	1	85	BIO, bFGF	0-2	Wnt-C59	2-7				Flow cytometry for cTnT+; Flow cytometry for NKX2-5+	85										ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye													
Dai, Y. et al. Troponin destabilization impairs sarcomere-cytoskeleton interactions in iPSC-derived cardiomyocytes from dilated cardiomyopathy patients. Sci Rep 10, (2020).	2020.0	Randomized	in-house	3	85	CHIR99021	0-2	IWP2	2-4	7			Flow cytometry for cTnT+	90				Yes		Yes				ECM-coated plastic/glass	Collagen	CM			100, 0, 0	2.5	39.5	Yes		Yes	1.75			Motion tracking analysis	1.1																
Daly, A. C., Davidson, M. D. & Burdick, J. A. 3D bioprinting of high cell-density heterogeneous tissue models through spheroid fusion within self-healing hydrogels. Nat Commun 12, (2021).	2021.0	Top 100	iCellA, iCellB	2										97					Yes						3D printing	CM + SC	hMSC		80, 0, 20	0.3	0.03							Motion tracking analysis				Dye	1.0	36.0	100										
de Lange, W. J. et al. Human iPSC-engineered cardiac tissue platform faithfully models important cardiac physiology. Am J Physiol Heart Circ Physiol 320, H1670ÂH1686 (2021).	2021.0	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	17-24	Visual Inspection	95				Yes	Yes						Fibrin	CM + SC	hiPSC-CF		91, 0, 9	11.0	24	Yes					Yes	Force transducer		12.0		Dye		36.0	100			Optical mapping						PCR	isoproterenol
De Leeuw, V. C. et al. Going Back and Forth: Episomal Vector Reprogramming of Peripheral Blood Mononuclear Cells to Induced Pluripotent Stem Cells and Subsequent Differentiation into Cardiomyocytes and Neuron-Astrocyte Co-cultures. Cell Reprogram 22, 300Â310 (2020).	2020.0	Randomized	in-house	1		StemCell Differentiation kit	0-4		6-8	8														ECM-coated plastic/glass								Yes																							
Depalma, S. J., Davidson, C. D., Stis, A. E., Helms, A. S. & Baker, B. M. Microenvironmental determinants of organized iPSC-cardiomyocyte tissues on synthetic fibrous matrices. Biomater Sci 9, 93Â107 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	9, not 11-15	No glucose with lactate	11-15									Yes			Electrospun fibers								Yes		Yes								Dye		40.0	150	350									
Dias, T. P. et al. Biophysical study of human induced Pluripotent Stem Cell-Derived cardiomyocyte structural maturation during long-term culture. Biochem Biophys Res Commun 499, 611Â617 (2018).	2018.0	Randomized	DF6-9-9T.B	1	95	CHIR99021	0-1	IWP4	3-5	7														ECM-coated plastic/glass								Yes		Yes	1.12							Dye													
Diez-CuÃ±ado, M. et al. miRNAs that Induce Human Cardiomyocyte Proliferation Converge on the Hippo Pathway. Cell Rep 23, 2168Â2174 (2018).	2018.0	Top 100	iCell	1																				ECM-coated plastic/glass																														RNA-seq	
Dipalo, M. et al. Plasmonic meta-electrodes allow intracellular recordings at network level on high-density CMOS-multi-electrode arrays. Nat Nanotechnol 13, 965Â971 (2018).	2018.0	Top 100	Cor.4U	1																				MEA									SEM															MEA							dofetilide, ATX-II, tetrodotoxin
Dou, W. et al. A microdevice platform for characterizing the effect of mechanical strain magnitudes on the maturation of iPSC-Cardiomyocytes. Biosens Bioelectron 175, (2021).	2021.0	Selected	iCell2	1																Yes		Yes		ECM-coated PDMS								Yes		Yes	1.9			TFM		1.7															
Dou, W. et al. Label-free conduction velocity mapping and gap junction assessment of functional iPSC-Cardiomyocyte monolayers. Biosens Bioelectron 167, (2020).	2020.0	Randomized	iCell2	1																				ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye					20.0		21.0						
Du, D. T. M., Hellen, N., Kane, C. & Terracciano, C. M. N. Action potential morphology of human induced pluripotent stem cell-derived cardiomyocytes does not predict cardiac chamber specificity and is dependent on cell density. Biophys J 108, 1Â4 (2015).	2015.0	Top 100	iCell	1																				ECM-coated plastic/glass																								Optical mapping							carbenoxolone
Dwenger, M. et al. Chronic optical pacing conditioning of h-iPSC engineered cardiac tissues. J Tissue Eng 10, (2019).	2019.0	Selected	201B6	1		Activin A, Wnt3a	0-1	BMP4, bFGF	1-5								Optical pacing	Yes	Yes						Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	56, 11, 14	15.0	40	Yes		Yes				Force transducer 		0.72								Patch clamp			-35.0	6.0		PCR	
Edri, R. et al. Personalized Hydrogels for Engineering Diverse Fully Autologous Tissue Implants. Advanced Materials 31, (2019).	2019.0	Top 100	in-house	1	100	CHIR99021	0-1	IWP2	4-5	8			Flow cytometry for cTnT+; Flow cytometry for NKX2-5	70											Decellularized tissue	CM			100, 0, 0			Yes																							
Edwards, S. L. et al. A Multiwell Cardiac ?GMEA Platform for Action Potential Recordings from Human iPSC-Derived Cardiomyocyte Constructs. Stem Cell Reports 11, 522Â536 (2018).	2018.0	Randomized	ATCC	1		CHIR99021	0-2	IWR1	3-5				Flow cytometry for cTnT+	90										MEA								Yes										Dye	0.18	60.0	2000			MEA							E4031
El?Battrawy, I. et al. Deciphering the pathogenic role of a variant with uncertain significance for short QT and Brugada syndromes using gene?edited human?induced pluripotent stem cell?derived cardiomyocytes and preclinical drug screening. Clin Transl Med 11, (2021).	2021.0	Randomized	ipWT1.3/UMGi014-B.3, LHpb-YaabC3, in-house	3		Yes, Not listed					Metabolic (not specified		Flow cytometry for cTnT+	85										ECM-coated plastic/glass								Yes										Dye						Patch clamp; MEA		100 @ 1 Hz	-80.0				quinidine, amiodarone, DL-sotalol
Ellis, B. W. et al. Human Heart Anoxia and Reperfusion Tissue (HEART) Model for the Rapid Study of Exosome Bound miRNA Expression As Biomarkers for Myocardial Infarction. Small 18, (2022).	2022.0	Randomized	HVRDi007-A	1	95	CHIR99021	0-1	IWP4	4-6	9									Yes	Flow					Collagen	CM + EC		hiPSC-EC	83, 17, 0	120.0	0.6	Yes	TEM																					PCR	
Eng, G. et al. Autonomous beating rate adaptation in human stem cell-derived cardiomyocytes. Nat Commun 7, (2016).	2015.0	Selected	C2A	1	EB	Activin A, BMP4, bFGF	0-3	XAV939	3-7				Flow cytometry for cTnT+	55			Yes								Scaffold free	CM			100, 0, 0		0.08	Yes	TEM					Motion tracking analysis				Dye						Patch clamp			-70.0			PCR	isoproterenol, E4031
Ergir, E. et al. Generation and maturation of human iPSC-derived 3D organotypic cardiac microtissues in long-term culture. Sci Rep 12, (2022).	2022.0	Selected	DF19-9-7T, WTC11	2	100	CHIR99021, BMP4	0-1	IWP2	2-4	7			Flow cytometry for cTnT+	82										ECM-coated plastic/glass	Scaffold free	CM				1.0	0.75	Yes	TEM		1.5		Yes	Motion tracking analysis															Seahorse	RNA-seq	isoproterenol, verapamil, doxorubicin
Feaster, T. K., Casciola, M., Narkar, A. & Blinova, K. Acute effects of cardiac contractility modulation on human induced pluripotent stem cellÂderived cardiomyocytes. Physiol Rep 9, (2021).	2021.0	Selected	iCell	1													Calcium concentration					Yes		Thick matrigel								Yes						Motion tracking analysis				Dye						Optical mapping							metoprolol
Feric, N. T. et al. Engineered Cardiac Tissues Generated in the Biowire II: A Platform for Human-Based Drug Discovery. Toxicological Sciences 172, 89Â97 (2019).	2019.0	Selected	iCell	1																					Collagen + fibrin + matrigel	CM + SC	hCF		90, 0, 10	50.0	2							Post deflection																	isoproterenol, dobutamine, milrinone, PACAP27, nifedipine, FPL64176, digoxin, thapsigargin, omecamtiv mecarbil, mavacamten, levosimendan
Finklea, F. B. et al. Engineered cardiac tissue microsphere production through direct differentiation of hydrogel-encapsulated human pluripotent stem cells. Biomaterials 274, (2021).	2021.0	Randomized	IMR-90, DF19-9-11T.H, SCV-I55, UA16F2	4		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+; Flow cytometry for MF20	70						Flow				ECM-coated plastic/glass	PEG + ECM	CM			100, 0, 0	25.0		Yes	SEM									Dye		25.0				MEA						PCR	isoproterenol, propranolol
Fischer, B. et al. A complete workflow for the differentiation and the dissociation of hiPSC-derived cardiospheres. Stem Cell Res 32, 65Â72 (2018).	2018.0	Randomized	UKBi005-A, IBMT1	2	EB	CHIR99021, BMP4	0-1	IWP2	2-3				IHC a-actinin	95										ECM-coated plastic/glass								Yes																						PCR	
Fleischer, S., Jahnke, H. G., Fritsche, E., Girard, M. & Robitzki, A. A. Comprehensive human stem cell differentiation in a 2D and 3D mode to cardiomyocytes for long-term cultivation and multiparametric monitoring on a multimodal microelectrode array setup. Biosens Bioelectron 126, 624Â631 (2019).	2019.0	Randomized	IMR-90	1	87.5	CHIR98014	0-1	IWP4	3-5				Flow cytometry for cTnT+	90											Scaffold free	CM			100, 0, 0	0.25	0.16	Yes			2.0			Motion tracking analysis										MEA						PCR	acetaminophen, isoprotereol, E4031
Floy, M. E. et al. Direct coculture of human pluripotent stem cell-derived cardiac progenitor cells with epicardial cells induces cardiomyocyte proliferation and reduces sarcomere organization. J Mol Cell Cardiol 162, 144Â157 (2022).	2022.0	Randomized	WTC11, WTC11, DF19-9-11T.H	3	85	CHIR99021	0-1	IWP2	3-5				Flow cytometry for cTnT+	85					Yes					ECM-coated plastic/glass								Yes			1.4																			RNA-seq	
Fong, A. H. et al. Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Tissue Eng Part A 22, 1016Â1025 (2016).	2016.0	Top 100	WTC11	1	82.5	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85									Yes		Decellularized tissue	CM			100, 0, 0	1.6		Yes										Genetically encoded sensor	0.6	30.0		220 (time to 50%)								PCR	isoproterenol, propanolol
Fukushima, H. et al. Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells. PLoS One 15, (2020).	2020.0	Selected	836B3, 253G1,1201C1	3	100	Activin A, BMP4, bFGF	0-5	XAV939, IWP4	5-9	7	Cell sorting		Flow cytometry for cTnT+	97										ECM-coated plastic/glass								Yes	TEM		1.91		like structures											Patch clamp		115	-64.0			PCR	E4031, chromanol
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 1318Â1325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-2	Unclear	3-5		No glucose with lactate	8-14	Flow cytometry for cTnT+	96				Yes	Yes	Flow 					Fibrin	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25	1.0	800	Yes	TEM					Force transducer	1.8			Dye						Optical mapping	14.1						isoproterenol
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 1318Â1325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-1	Not listed	3-5	7, not 20-30	No glucose and lactate	20-30	IHC cTnI, cTnT, a-actinin, cx43, MLC-2v	95					Yes		Yes		Yes		Decellularized ECM, PEG, 3D printing	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25		4	Yes		Yes				Motion tracking analysis			17	Dye	2.3					Optical mapping	18.0					PCR	
Garay, B. I. et al. Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes. Stem Cell Reports 17, 2005Â2022 (2022).	2022.0	Selected	PLZ, MYL2-mEGFP, 19004	3	77.5	CHIR99021	0-2	IWP2	2-4	6	No glucose with lactate	16-20	Flow cytometry for cTnT+	99							Yes			ECM-coated plastic/glass and Micropatterned polyacrlyamide gels								Yes	TEM	Yes	2.0	4100	Yes	TFM	0.00042 (per cell)			Dye	0.175		375			Patch clamp; MEA	5.0	112	-75.0		Seahorse	RNA-seq, PCR	
Garreta, E. et al. Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts. Biomaterials 98, 64Â78 (2016).	2016.0	Top 100	ESi048-A	1		CHIR99021	0-1	IWP4	3-5	5										Yes				Decellularized ECM								Yes															8.3							PCR	verapamil, flecainide
Giacomelli, E. et al. Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease. Cell Stem Cell 26, 862-879.e11 (2020).	2020.0	Top 100	LUMCi004-A, LUMCi026-A, LUMCi028-A, NCRM-1	4		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6				Flow cytometry for cTnT+	80					Yes						Scaffold free	CM + EC + SC	hiPSC-CF	hiPSC-EC	75, 15, 15	0.1	0.13	Yes	TEM	Yes	1.9		Yes	Motion tracking analysis			50	Dye			150			Patch clamp		105	-70.0		Seahorse	RNA-seq, PCR	verapamil, Bay K-8644, dbcAMP
Giacomelli, E. et al. Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells. Development (Cambridge) 144, 1008Â1017 (2017).	2017.0	Top 100	in-house	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6		Cell sorting	14	Flow cytometry for VCAM1	79					Yes						Scaffold free	CM + EC		hiPSC-EC	85, 0, 15	0.1	0.07	Yes						Motion tracking analysis										Patch clamp; MEA		100	-52.0			PCR	isoproterenol, verapamil
Goldfracht, I. et al. Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications. Acta Biomater 92, 145Â159 (2019).	2019.0	Top 100	in-house	1	85	CHIR99021	0-1	Wnt-C59	2-4				Flow cytometry for cTnT+	85						Yes			Yes		Decellularized tissue	CM			100, 0, 0	30.0	24	Yes	TEM									Genetically encoded sensor		40.0		310		Optical mapping	6.0						isoproterenol, carbamylcholine, E4031, ATX-II, ouabain, quinidine, lidocaine, carbenoxolone
Goversen, B. et al. A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time. Front Physiol 8, (2018).	2018.0	Randomized	Cor.4U	1																				ECM-coated plastic/glass																								Patch clamp				1.0			
Guan, G. et al. Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart. Bioact Mater 6, 4415Â4429 (2021).	2021.0	Selected	ATCC	1		CHIR99021	0-2	Wnt-C59	2-4				Flow cytometry for CD31+	85									Yes		Decellularized ECM, 3D printing	CM + EC		hiPSC-EC	67, 33, 0	0.017	225	Yes	SEM, TEM	Yes														MEA						Proteomics	
Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 3746Â3754 (2019).	2019.0	Randomized	in-house	1		Activin A, BMP4, bFGF	0-4						Flow cytometry for cTnT+												PEG	CM + SC	hCF		75, 0, 25	10.0	0.012	Yes																							
Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 2973Â2989 (2021).	2021.0	Selected	WTC11	1		CHIR99021	0-2	IWP2	2-4	6, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	86								Yes		ECM-coated PDMS								Yes		Yes	1.9			Motion tracking analysis	0.05		45	Genetically encoded sensor			150										
