3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
					Yes			1.93			Motion tracking analysis; TFM						40.0											"MYK-461, CK-1827452, verapamil, propanolol
"
					Yes																						RNA-seq	
																					MEA		100				PCR	NS3623, E4031
hMSC		80, 0, 20	25.0	40	Yes			2.1			Post deflection	0.045		330	Dye	0.35		200			Patch clamp	35.0	-50				RNA-seq, PCR	cisapride 
hCF	CMVEC	37.5, 50, 12.5	2.75	4.5	Yes		Yes				Motion tracking analysis			34														
		100, 0, 0	10.0	5		TEM					Motion tracking analysis	0.2														Metabolic flux	PCR	blebbistatin, N-benzyl-p-toluene sulfonamide
		100, 0, 0	5.0	100																	Patch clamp							nimodipine, E4031, norepinephrine, epinephrine, serotonin, ICI118,551, CP 20712A, nifedipine, mibefradil 
					Yes				1900												Patch clamp			-75.0				
hMSC	hiPSC-EC	65, 32, 3			Yes	SEM, TEM									Dye												PCR	isoproterenol, clenbuterol, diltiazem
hFF		90, 0, 10	5.0	78.5	Yes	TEM					Motion tracking analysis										MCR				2.5		PCR	isoproterenol, carbachol, sotalol
															Dye						MEA; Optical mapping							epinephrine, pimobendan, forskolin, acetylsalicylic acid, levosimendan, atenolol, verapamil, captopril, doxorubicin, omecamtiv mecarbil, sunitinib, ouabain
					Yes						Motion tracking analysis																	
		100, 0, 0	3.0	0.039	Yes						Motion tracking analysis	0.000175		38														
					Yes	SEM, TEM		1.8							Dye	1.69				5.6	Patch clamp	5.0	75	-42.0			PCR	
hiPSC-SC		75, 0, 25			Yes	TEM															MEA						PCR	epinephrine, nifedipine, E4031, metoprolol
					Yes		Yes	1.6			Motion tracking analysis			5	Dye		27.0										PCR	
					Yes										Genetically encoded sensor						Optical mapping							
	hiPSC-EC	71, 29, 0	9.7	27	Yes																							
hPC		86, 0, 14	2.03	22.6	Yes						Motion tracking analysis	0.45																
colon adenocarcinoma (SW620)	hiPSC-EC	77, 23, 0	130.0	2	Yes										Genetically encoded sensor		30.0			4.2								doxorubicin, oxaliplatin
					Yes				1200		TFM	0.00024	0.32														PCR	
hCF		75, 0, 25	0.025	1.8	Yes						Rod deflection				Dye		45.0			18.0							RNA-seq	lidocaine, isoproterenol, flecainide, propranolol, amiodarone
					Yes		Yes	1.75			Motion tracking analysis			7	Dye												RNA-seq	
hFF		91, 0, 9	1.43	1.75							Post deflection	0.05									Optical mapping				2.6			
					Yes										Dye	4.5	70.0	250									RNA-seq	isoproterenol
					Yes										Dye	0.7	40.0				Patch clamp						PCR	isoproterenol, carbamylcholine
					Yes	SEM	Yes				Motion tracking analysis			30	Dye		40.0										PCR	
					Yes																						PCR	
hCF	HUVEC	70, 15, 15	2.5		Yes			2.2																				
					Yes																MEA		93				PCR	
					Yes						Motion tracking analysis															Seahorse		
					Yes		Yes		3000		Motion tracking analysis			16		1.04	40.0									Seahorse	PCR	
		100, 0, 0	0.015	0.0625	Yes						Motion tracking analysis																	
		100, 0, 0	50.0	9	Yes																						PCR	
hMSC		91, 0, 9	4.4	16	Yes			1.7	9000		Post deflection 	0.21	0.95	1300	Dye	0.2		180									PCR	
		100, 0, 0		49	Yes						Motion tracking analysis			40.5	Dye						MEA							verapamil, isoproterenol
					Yes						Motion tracking analysis			10			90.0									Seahorse	RNA-seq	ivabradine, carbamylcholine, vernakalant
hMSC		90, 0, 10	8.0	7.5	Yes		Yes				TFM; Post deflection	0.08	0.28								Genetically encoded sensor						PCR	
					Yes										Dye												PCR	
		100, 0, 0		0.28	Yes	TEM																					PCR	
	HUVEC	9, 91, 0	11.0	19.25	Yes		Yes				Motion tracking analysis						40.0											doxorubicin
hCF		91, 0, 9	50.0	1.7	Yes	TEM					Post deflection	2.6	23.2		Dye	0.08		290			Optical mapping	32.0	100	-65.0				E4031, isoproterenol, milrinone, diltiazem, lidocaine, nifedipine, thapsigargin
hCF		91, 0, 9	50.0	2.5	Yes		Yes				Post deflection										Patch clamp				5.0			
					Yes																					Metabolic flux	RNA-seq, PCR	
					Yes			1.7																				
